Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,294.049988,304.950012,244.449997,247.500000,140.283066,13734704
2014-02-01,246.500000,271.100006,240.500000,244.000000,152.952820,5074590
2014-03-01,244.500000,292.100006,240.800003,287.899994,180.471771,8635383
2014-04-01,289.899994,304.149994,275.299988,291.700012,182.853867,3476288
2014-05-01,291.700012,417.000000,291.700012,371.149994,232.657532,15390089
2014-06-01,370.500000,423.850006,367.049988,385.299988,241.527512,11725766
2014-07-01,388.000000,399.500000,353.000000,368.950012,231.278458,9505767
2014-08-01,366.799988,372.850006,348.000000,356.399994,223.411392,5117620
2014-09-01,358.000000,384.899994,333.000000,341.350006,213.977249,7339094
2014-10-01,342.549988,370.850006,331.600006,369.350006,231.529190,4210955
2014-11-01,372.000000,375.149994,340.000000,354.750000,222.377060,5022924
2014-12-01,354.899994,393.000000,346.399994,383.750000,240.555878,4382529
2015-01-01,384.000000,399.850006,356.750000,360.850006,226.200928,6997058
2015-02-01,353.049988,397.700012,349.950012,395.450012,247.890182,19060555
2015-03-01,397.100006,398.000000,346.200012,362.399994,227.172562,6157141
2015-04-01,363.000000,395.399994,356.350006,363.000000,240.142929,3081161
2015-05-01,363.000000,393.399994,352.000000,391.299988,258.864807,12550439
2015-06-01,390.000000,422.100006,382.000000,421.049988,278.545959,9271021
2015-07-01,422.899994,442.000000,413.799988,439.299988,290.619232,9062339
2015-08-01,441.149994,447.250000,332.950012,366.350006,242.359131,8989163
2015-09-01,362.000000,365.500000,300.750000,326.500000,215.996338,11479938
2015-10-01,329.000000,349.000000,318.549988,319.899994,211.630081,4531707
2015-11-01,323.899994,344.700012,316.950012,330.700012,218.774841,4355187
2015-12-01,331.000000,346.500000,305.500000,328.700012,217.451752,3870396
2016-01-01,329.799988,337.000000,286.899994,320.049988,211.729309,5523099
2016-02-01,320.500000,336.799988,293.000000,311.200012,205.874603,6538117
2016-03-01,312.000000,334.000000,291.049988,292.000000,193.172836,10850422
2016-04-01,292.000000,293.799988,272.049988,287.100006,207.774948,8876641
2016-05-01,288.000000,296.000000,272.649994,291.649994,211.067780,13741203
2016-06-01,293.000000,318.799988,289.149994,313.149994,226.627350,8877038
2016-07-01,313.500000,335.799988,309.600006,328.000000,237.374359,6341943
2016-08-01,330.000000,349.850006,320.899994,333.649994,241.463242,10895085
2016-09-01,333.649994,341.000000,317.200012,322.549988,233.430161,7298540
2016-10-01,322.500000,329.549988,309.549988,324.399994,234.769043,6143759
2016-11-01,325.299988,337.299988,289.200012,308.200012,223.045059,8719159
2016-12-01,309.000000,315.000000,282.200012,300.000000,217.110687,5254982
2017-01-01,303.000000,320.000000,297.149994,309.899994,224.275330,4647680
2017-02-01,310.000000,332.100006,306.600006,321.799988,232.887390,5963600
2017-03-01,323.000000,327.950012,288.200012,292.799988,211.900040,12789502
2017-04-01,292.100006,298.000000,273.700012,276.850006,213.796738,8995392
2017-05-01,276.850006,284.350006,260.000000,263.299988,203.332748,5928408
2017-06-01,263.000000,270.000000,243.350006,244.199997,188.582825,4735330
2017-07-01,244.449997,265.299988,243.000000,249.149994,192.405457,9896682
2017-08-01,249.800003,253.750000,234.000000,238.000000,183.794891,10264768
2017-09-01,239.000000,272.200012,238.000000,270.600006,208.970169,12309735
2017-10-01,270.600006,294.899994,268.700012,286.350006,221.133057,10938114
2017-11-01,288.299988,292.399994,266.299988,276.200012,213.294739,5977147
2017-12-01,275.100006,276.149994,261.049988,263.000000,203.101089,3845257
2018-01-01,265.950012,310.450012,262.549988,298.600006,230.593094,9237378
2018-02-01,300.000000,316.549988,284.799988,309.549988,239.049194,9909738
2018-03-01,310.000000,314.000000,265.450012,283.500000,218.932144,6135079
2018-04-01,283.500000,294.799988,272.450012,283.850006,232.166016,2853860
2018-05-01,283.850006,303.000000,257.600006,294.500000,240.876846,4612681
2018-06-01,295.000000,299.149994,256.000000,264.399994,216.257523,3411327
2018-07-01,264.000000,279.799988,258.700012,261.700012,214.049164,2528781
2018-08-01,261.500000,299.600006,261.500000,286.100006,234.006332,6948412
2018-09-01,286.700012,289.899994,264.850006,266.850006,218.261444,2518390
2018-10-01,266.000000,288.299988,261.549988,266.149994,217.688873,5183170
2018-11-01,265.399994,271.700012,239.550003,244.300003,199.817368,8051951
2018-12-01,246.449997,254.100006,228.500000,240.750000,196.913773,5626332
