Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,436.375000,447.625000,430.875000,432.174988,360.180847,2029472
2014-01-08,433.250000,462.162506,427.162506,461.106262,384.292633,7102464
2014-01-15,460.637512,471.312500,459.750000,469.456238,391.251617,5518280
2014-01-22,466.875000,474.875000,458.875000,459.625000,383.058105,1440072
2014-01-29,458.737488,467.987488,443.750000,445.831238,371.562195,1435432
2014-02-05,447.012512,452.750000,442.575012,449.475006,374.598907,3295408
2014-02-12,450.750000,461.312500,447.625000,460.000000,383.370636,2995016
2014-02-19,461.125000,473.750000,461.125000,472.837494,394.069611,1790000
2014-02-26,472.437500,480.899994,470.462494,474.987488,395.861481,1013952
2014-03-05,477.625000,480.793762,453.750000,459.093750,382.615387,1861920
2014-03-12,460.000000,462.299988,417.500000,418.656250,348.914185,4890408
2014-03-19,420.000000,420.812500,405.018738,406.450012,338.741333,3208864
2014-03-26,408.118744,415.356262,402.125000,413.825012,344.887726,2191248
2014-04-02,418.000000,419.343750,399.500000,411.406250,342.871918,928952
2014-04-09,412.500000,421.475006,395.625000,407.556244,339.663300,6089464
2014-04-16,407.125000,407.125000,392.875000,393.737488,328.146545,2026456
2014-04-23,395.662506,399.381256,395.587494,397.325012,331.136414,937336
2014-04-30,397.843750,405.531250,394.250000,395.518738,329.631042,2644680
2014-05-07,393.875000,410.625000,380.812500,408.187500,340.189362,2973288
2014-05-14,404.375000,417.174988,375.625000,389.881256,324.932678,3886624
2014-05-21,389.625000,396.706238,376.250000,391.737488,326.479706,2026896
2014-05-28,391.250000,398.500000,361.750000,376.924988,314.134674,12715544
2014-06-04,376.250000,385.106262,369.518738,383.399994,323.921875,3720000
2014-06-11,387.375000,412.250000,387.375000,405.906250,342.936737,5971840
2014-06-18,407.375000,416.875000,399.287506,401.287506,339.034485,2820296
2014-06-25,405.262512,407.375000,397.381256,402.718750,340.243744,2446872
2014-07-02,402.512512,425.512512,400.125000,416.725006,352.077118,2366800
2014-07-09,417.625000,428.668762,398.524994,403.181244,340.634521,3769168
2014-07-16,403.750000,417.856262,399.106262,404.387512,341.653625,1695136
2014-07-23,405.625000,423.750000,405.625000,420.799988,355.519958,1383424
2014-07-30,424.075012,439.375000,416.500000,438.031250,370.078125,2438880
2014-08-06,440.037506,450.562500,434.443756,447.049988,377.697723,2319904
2014-08-13,445.875000,452.812500,441.250000,443.887512,375.025879,999888
2014-08-20,443.906250,454.625000,441.375000,452.575012,382.365631,2170352
2014-08-27,453.125000,456.093750,444.562500,451.443756,381.409882,1244136
