Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,404.928131,414.836945,325.466919,339.329773,289.680573,14345779
2014-02-01,339.663239,381.013550,320.131409,327.801208,279.838806,17855076
2014-03-01,327.563019,377.297729,316.510864,375.249268,320.344513,22055728
2014-04-01,375.868561,412.264465,368.008209,381.680481,325.834717,15400295
2014-05-01,381.680481,471.526886,370.390137,452.566711,386.349213,26359842
2014-06-01,454.472260,551.273926,449.708405,503.349457,429.701630,20519325
2014-07-01,504.969177,546.795898,470.335907,527.264038,450.117096,18052039
2014-08-01,522.119080,541.698547,485.484985,489.296082,426.212555,15537857
2014-09-01,490.820526,505.921967,429.795471,437.608185,381.188660,16481916
2014-10-01,435.416809,469.430786,414.884583,466.239014,406.128204,14528292
2014-11-01,468.763855,471.907990,436.988892,450.947021,392.807739,12796475
2014-12-01,451.613953,452.471436,368.770416,380.489502,331.434113,16507997
2015-01-01,377.297729,401.307587,354.955231,372.009857,324.047729,18045204
2015-02-01,372.533875,376.154388,328.658722,334.470612,291.348328,14554006
2015-03-01,341.616425,342.283356,296.597931,301.885834,262.964569,17628633
2015-04-01,301.552338,360.576569,301.171234,343.474335,299.191193,16646707
2015-05-01,343.474335,366.055023,307.173706,312.985626,272.633301,15124772
2015-06-01,313.462006,317.273102,273.969604,290.309631,252.880905,17633819
2015-07-01,291.071869,295.645172,233.667343,235.620529,205.242691,19825226
2015-08-01,235.620529,255.533463,190.935516,214.421341,192.263000,35892138
2015-09-01,210.562622,232.381104,190.554413,201.892395,181.028809,29906081
2015-10-01,205.751129,249.578629,200.463242,235.096497,210.801575,23362786
2015-11-01,235.429977,235.429977,202.940445,219.185211,196.534576,18156871
2015-12-01,219.613953,253.675552,214.373703,247.291977,221.736771,23949155
2016-01-01,248.673508,263.155640,214.659546,238.240646,213.620804,23762588
2016-02-01,239.145782,251.055435,201.320724,237.335510,212.809204,30250643
2016-03-01,238.193008,310.460785,235.048859,304.410675,272.952820,26560688
2016-04-01,302.981506,346.951935,293.834900,333.994232,299.479218,23654073
2016-05-01,333.470215,338.662811,296.502655,318.654602,285.724823,19655680
2016-06-01,319.655029,331.802856,283.354401,306.697327,275.003143,19319706
2016-07-01,309.698547,361.338806,297.264862,337.995880,303.067352,23244331
2016-08-01,342.045166,375.963837,337.281311,352.954407,323.613983,20622284
2016-09-01,353.287872,389.207367,338.615173,356.717865,327.064636,20775212
2016-10-01,358.242279,411.264038,357.289520,385.348663,353.315399,18175367
2016-11-01,384.919891,420.077179,348.762207,395.352753,362.487854,18736721
2016-12-01,397.829956,414.836945,359.623810,372.629150,341.653229,12591060
2017-01-01,371.771637,453.852966,370.580688,440.561798,403.938782,17860954
2017-02-01,440.704712,472.432007,434.178223,459.855438,421.628571,15176158
2017-03-01,460.474731,484.436951,440.657074,459.855438,421.628571,14583032
2017-04-01,462.094452,481.912109,421.696899,427.651733,392.101929,12450826
2017-05-01,427.651733,495.822571,408.024628,481.054596,441.065460,26865928
2017-06-01,482.293213,520.975769,464.476379,518.641479,475.527832,14069777
2017-07-01,518.355652,544.985596,516.354797,540.745789,495.794617,11071110
2017-08-01,542.222595,612.251343,531.646790,607.868591,567.272339,12119219
2017-09-01,610.726868,663.653381,593.576965,620.302246,578.875671,9279993
2017-10-01,620.302246,700.192200,620.302246,670.418030,625.644531,7875238
2017-11-01,673.609863,684.042664,638.071411,662.319458,618.086792,7192921
2017-12-01,663.129333,709.195862,637.404480,697.857910,651.251831,6329334
2018-01-01,697.905518,755.119507,681.756042,705.049988,657.963623,8667378
2018-02-01,706.250000,720.599976,633.000000,671.700012,626.840881,14748625
2018-03-01,671.000000,684.799988,554.099976,570.900024,532.772705,16937765
2018-04-01,574.950012,623.900024,558.000000,594.700012,554.983276,9826825
2018-05-01,594.700012,636.299988,536.599976,575.450012,537.018860,12416613
2018-06-01,570.900024,607.549988,538.349976,567.849976,529.926453,12632920
2018-07-01,575.200012,586.500000,493.500000,562.849976,525.260376,14446724
2018-08-01,565.000000,614.299988,540.549988,601.650024,571.515076,14199557
2018-09-01,602.000000,646.700012,574.500000,580.349976,551.281921,11714794
2018-10-01,583.000000,594.450012,530.099976,552.400024,524.731873,12163197
2018-11-01,556.950012,610.000000,513.250000,530.250000,503.691315,16386023
2018-12-01,541.000000,552.500000,486.899994,521.849976,495.712006,11780584
