Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,129.460007,136.320007,122.820000,123.360001,116.251099,39967150
2014-01-08,123.750000,126.980003,121.290001,124.090004,116.939034,35651710
2014-01-15,124.400002,129.960007,123.269997,126.459999,119.172455,24774235
2014-01-22,126.430000,127.260002,111.260002,113.480003,108.845932,32475985
2014-01-29,115.000000,115.599998,104.089996,108.480003,104.050117,41470905
2014-02-05,108.440002,113.320000,106.849998,112.269997,107.685333,48269725
2014-02-12,113.000000,115.400002,105.400002,107.580002,103.186867,40752505
2014-02-19,107.599998,108.959999,102.230003,107.449997,103.062172,42193695
2014-02-26,107.129997,115.760002,106.440002,115.349998,110.639557,44795080
2014-03-05,116.400002,134.600006,115.680000,129.580002,124.288475,75835850
2014-03-12,129.220001,134.399994,125.220001,131.919998,126.532913,40074485
2014-03-19,132.600006,135.080002,127.260002,132.850006,127.424950,39839240
2014-03-26,133.910004,151.000000,133.300003,147.369995,141.351990,72420940
2014-04-02,148.800003,156.339996,145.600006,150.070007,143.941742,58362540
2014-04-09,151.009995,159.619995,149.509995,150.619995,144.469284,47981855
2014-04-16,150.600006,158.199997,149.660004,156.100006,149.725510,28281095
2014-04-23,156.199997,165.600006,155.529999,163.429993,156.756165,33578120
2014-04-30,163.419998,167.570007,158.100006,161.169998,154.588470,31515870
2014-05-07,161.000000,182.800003,159.800003,175.570007,168.400436,49783160
2014-05-14,177.389999,202.000000,175.580002,187.410004,179.756927,100413720
2014-05-21,188.690002,194.910004,174.729996,177.350006,170.107742,47229985
2014-05-28,177.389999,180.240005,167.740005,173.899994,166.798615,56303045
2014-06-04,173.500000,183.600006,172.679993,177.619995,170.366699,42459455
2014-06-11,177.399994,181.880005,162.729996,175.250000,168.093491,33250215
2014-06-18,175.000000,177.440002,164.039993,172.940002,167.855148,30492925
2014-06-25,173.000000,177.330002,168.009995,175.649994,170.485443,29276375
2014-07-02,177.380005,179.440002,164.800003,166.470001,161.575378,21882815
2014-07-09,166.050003,172.779999,154.220001,165.910004,161.031830,38351835
2014-07-16,167.199997,170.979996,164.199997,166.399994,161.507431,25130910
2014-07-23,168.089996,177.380005,168.089996,173.320007,168.223969,40761240
2014-07-30,174.259995,183.850006,171.009995,181.880005,176.532288,55941625
2014-08-06,180.800003,183.860001,171.110001,182.820007,177.444641,33369965
2014-08-13,180.600006,181.279999,173.110001,177.449997,172.232544,25715715
2014-08-20,176.800003,186.199997,174.479996,178.270004,173.028427,31264370
2014-08-27,179.009995,180.779999,173.199997,177.940002,172.708130,17392250
2014-09-03,178.440002,181.979996,174.199997,180.470001,175.163742,18691120
2014-09-10,178.800003,192.160004,178.000000,184.630005,179.201431,32549330
2014-09-17,186.460007,193.350006,182.529999,185.850006,180.385559,21732120
2014-09-24,185.600006,187.029999,172.440002,180.460007,175.154037,35511095
2014-10-01,179.320007,181.589996,172.850006,173.279999,168.185135,9205235
2014-10-08,172.000000,176.960007,169.350006,174.300003,169.175156,29102505
2014-10-15,174.300003,178.800003,172.229996,176.759995,171.562820,25566850
2014-10-22,178.919998,184.580002,176.320007,183.940002,178.531723,13020205
2014-10-29,184.960007,191.100006,179.339996,190.009995,184.423233,17510865
2014-11-05,190.600006,203.990005,185.020004,202.410004,196.458649,28646510
2014-11-12,202.399994,213.679993,199.000000,211.199997,204.990204,24629470
2014-11-19,210.800003,211.580002,201.399994,202.309998,196.361588,18448450
2014-11-26,201.899994,221.649994,200.279999,216.910004,210.532318,38464010
2014-12-03,217.000000,224.990005,208.679993,209.929993,203.757523,28498935
2014-12-10,209.220001,217.710007,200.500000,201.699997,195.769516,26475745
2014-12-17,200.000000,215.979996,197.000000,211.850006,205.621109,26806710
2014-12-24,211.699997,217.059998,210.919998,216.470001,210.105255,13446345
2014-12-31,217.000000,221.699997,211.000000,211.899994,205.669601,16160295
2015-01-07,212.000000,220.160004,208.990005,216.320007,209.959671,17617140
2015-01-14,216.020004,224.399994,213.600006,217.360001,210.969086,18793390
2015-01-21,217.699997,228.899994,217.699997,222.949997,216.394714,24928053
2015-01-28,222.899994,227.850006,183.750000,185.050003,179.609085,50939156
2015-02-04,186.800003,188.000000,169.350006,176.399994,171.213409,32585259
2015-02-11,177.899994,185.300003,177.199997,182.750000,177.376709,19085466
2015-02-18,183.000000,186.899994,175.500000,176.750000,171.553116,19838387
2015-02-25,178.300003,189.000000,170.050003,187.199997,181.695862,27000882
2015-03-04,198.000000,198.699997,176.000000,179.850006,174.561981,23010687
2015-03-11,180.500000,184.000000,175.550003,182.399994,177.036987,23485687
2015-03-18,182.500000,185.250000,165.149994,167.899994,162.963318,22947749
2015-03-25,168.000000,168.800003,155.399994,163.500000,158.692703,21452712
2015-04-01,162.750000,172.100006,162.050003,170.050003,165.050110,10420666
2015-04-08,170.899994,177.899994,166.899994,175.550003,170.388397,17092907
2015-04-15,175.000000,182.899994,172.649994,180.149994,174.853149,22710613
2015-04-22,180.699997,181.850006,168.300003,173.449997,168.350143,18408676
2015-04-29,173.199997,174.800003,167.399994,170.000000,165.001572,15997414
2015-05-06,169.399994,171.000000,142.699997,158.399994,153.742645,76365977
2015-05-13,158.699997,166.850006,156.149994,160.649994,155.926498,30883931
2015-05-20,161.350006,162.649994,153.699997,159.449997,154.761765,38113708
2015-05-27,158.000000,165.500000,157.500000,160.399994,155.683838,24575266
2015-06-03,160.399994,164.149994,151.699997,153.149994,148.647018,19533586
2015-06-10,153.850006,156.199997,139.300003,142.000000,137.824844,20859260
2015-06-17,143.500000,152.500000,138.000000,150.300003,149.220001,34623753
2015-06-24,150.500000,151.000000,137.149994,144.149994,143.114182,30512686
2015-07-01,144.649994,156.750000,144.050003,153.649994,152.545914,21055704
