Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,80.714287,82.714287,78.964287,79.232140,75.484879,879632
2014-01-08,79.517860,79.946426,73.750000,73.910713,70.415138,1334718
2014-01-15,74.446426,80.589287,73.660713,80.089287,76.301476,1768429
2014-01-22,79.982140,80.589287,74.392860,74.714287,71.180687,896998
2014-01-29,75.267860,76.535713,71.928574,72.428574,69.003075,2879187
2014-02-05,72.803574,76.357140,72.803574,75.178574,71.623016,1710285
2014-02-12,75.535713,75.839287,73.214287,73.589287,70.108894,692741
2014-02-19,73.732140,76.750000,72.982140,75.017860,71.469894,922603
2014-02-26,74.821426,76.428574,73.392860,74.642860,71.112640,751247
2014-03-05,74.857140,76.767860,73.285713,75.267860,71.708084,2130263
2014-03-12,75.000000,76.750000,73.571426,75.428574,71.861198,1466728
2014-03-19,76.071426,79.910713,73.089287,79.500000,75.740074,4219119
2014-03-26,80.250000,82.857140,79.571426,82.142860,78.257935,2931934
2014-04-02,82.232140,84.517860,80.785713,82.482140,78.581161,1141557
2014-04-09,82.464287,84.285713,81.839287,83.946426,79.976189,797699
2014-04-16,84.250000,90.464287,84.089287,87.535713,83.395737,1873360
2014-04-23,86.785713,88.857140,83.714287,86.178574,82.102768,1302819
2014-04-30,85.428574,88.928574,84.321426,86.625000,82.528091,2546430
2014-05-07,86.946426,87.482140,83.607140,85.357140,81.320198,792840
2014-05-14,85.714287,87.785713,82.803574,85.232140,81.201096,986086
2014-05-21,85.714287,93.142860,85.000000,86.250000,82.170830,2939497
2014-05-28,85.035713,89.267860,84.660713,86.571426,82.477043,1879983
2014-06-04,86.785713,98.696426,86.285713,96.446426,91.885010,5039189
2014-06-11,96.535713,99.107140,91.125000,96.232140,91.680870,2545996
2014-06-18,96.214287,101.232140,95.035713,97.928574,93.297066,3767776
2014-06-25,98.571426,106.196426,96.500000,105.446426,100.459366,1953320
2014-07-02,105.357140,112.857140,101.160713,108.196426,103.079308,3474138
2014-07-09,108.571426,112.071426,100.000000,104.232140,99.302498,1435356
2014-07-16,103.785713,107.678574,102.892860,104.428574,99.489647,1822467
2014-07-23,105.678574,110.714287,103.303574,106.696426,102.422310,1905378
2014-07-30,105.714287,110.714287,102.946426,110.071426,105.662117,2502470
2014-08-06,110.714287,116.964287,106.428574,107.160713,102.868004,2707244
2014-08-13,107.142860,121.928574,104.464287,120.035713,115.227242,3469411
2014-08-20,122.500000,124.232140,119.303574,122.392860,117.489975,2443734
2014-08-27,122.857140,126.071426,121.464287,122.660713,117.747086,1253278
2014-09-03,123.214287,133.750000,122.857140,125.660713,120.626915,3524860
2014-09-10,126.392860,129.250000,122.428574,124.625000,119.632698,3706586
2014-09-17,125.178574,130.910721,124.339287,125.803574,120.764046,2964618
2014-09-24,125.535713,136.785721,122.875000,135.357147,129.934937,3763687
2014-10-01,136.392853,148.553574,135.714279,144.017853,138.248718,3935083
2014-10-08,145.071426,151.392853,119.642860,136.928574,131.443420,7119796
2014-10-15,136.928574,137.482147,125.017860,125.660713,120.626915,3032381
2014-10-22,127.500000,138.928574,127.142860,138.053574,132.523331,2804549
2014-10-29,138.214279,146.410721,137.500000,140.285721,134.666061,4470237
2014-11-05,142.571426,142.857147,128.285721,131.017853,125.769478,4382790
2014-11-12,130.750000,132.892853,126.875000,129.446426,124.260986,3734889
2014-11-19,129.678574,131.125000,124.821426,126.625000,121.552582,4544160
2014-11-26,125.500000,161.732147,125.500000,151.303574,145.242569,17899259
2014-12-03,152.178574,158.928574,143.375000,144.428574,138.642975,6301522
2014-12-10,143.428574,148.410721,134.642853,137.339279,131.837646,4388335
2014-12-17,136.071426,147.750000,132.142853,143.178574,137.443054,6212151
2014-12-24,142.857147,147.142853,140.214279,142.535721,136.825943,2689987
2014-12-31,145.625000,166.071426,143.214279,151.196426,145.139709,18698065
2015-01-07,153.857147,180.500000,151.339279,167.571426,160.858749,15602683
2015-01-14,167.857147,168.928574,156.428574,163.321426,156.778992,8510406
2015-01-21,164.285721,168.250000,159.321426,161.607147,155.133377,4427036
2015-01-28,160.000000,170.571426,149.250000,153.928574,147.762421,7758878
2015-02-04,155.535721,159.285721,141.821426,149.678574,143.682648,3401362
2015-02-11,150.714279,157.428574,149.285721,153.392853,147.248169,3101205
