Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,457.600006,466.500000,446.524994,451.924988,417.218719,947154
2014-01-08,450.500000,457.500000,447.000000,452.524994,417.772614,685692
2014-01-15,453.000000,457.924988,437.549988,439.850006,406.071014,516720
2014-01-22,437.674988,443.500000,420.100006,432.799988,399.562439,410792
2014-01-29,437.149994,445.524994,423.149994,437.350006,403.763062,307628
2014-02-05,439.924988,459.500000,433.000000,450.649994,416.041626,299694
2014-02-12,453.000000,460.950012,445.524994,456.524994,421.465424,1035154
2014-02-19,458.500000,461.125000,443.049988,447.575012,413.202759,454428
2014-02-26,450.000000,450.000000,430.549988,432.350006,399.146973,872780
2014-03-05,434.850006,449.000000,430.799988,436.774994,403.232178,515702
2014-03-12,436.274994,439.000000,427.000000,427.975006,395.107971,531434
2014-03-19,430.850006,437.000000,418.250000,420.575012,388.276276,1161214
2014-03-26,422.500000,426.250000,404.549988,420.600006,388.299347,1210646
2014-04-02,418.500000,432.399994,414.500000,416.325012,384.352722,1045238
2014-04-09,421.450012,446.875000,417.075012,441.475006,407.571228,766848
2014-04-16,441.475006,461.500000,438.149994,456.225006,421.188446,628702
2014-04-23,456.225006,460.000000,429.000000,431.399994,398.269928,1117378
2014-04-30,431.000000,436.200012,422.600006,425.200012,392.546112,223268
2014-05-07,421.774994,439.750000,421.774994,437.075012,403.509125,545942
2014-05-14,437.950012,447.450012,410.475006,417.725006,385.645142,1575904
2014-05-21,418.250000,448.500000,413.350006,435.625000,402.170502,2013106
2014-05-28,440.000000,457.500000,428.000000,449.100006,414.610687,1185624
2014-06-04,452.475006,453.225006,437.125000,437.924988,404.293823,1091590
2014-06-11,436.075012,499.500000,436.075012,473.649994,437.275299,3036436
2014-06-18,474.500000,485.899994,454.500000,471.000000,434.828766,1049710
2014-06-25,468.024994,521.500000,468.024994,508.100006,469.079651,1495806
2014-07-02,512.474976,519.825012,501.000000,510.200012,471.018402,1119154
2014-07-09,516.000000,517.950012,484.475006,491.799988,454.031403,598638
2014-07-16,488.000000,523.000000,484.500000,520.275024,480.319672,723576
2014-07-23,515.000000,550.000000,507.600006,535.575012,494.444611,1065740
2014-07-30,531.000000,584.000000,531.000000,564.375000,527.111755,1430696
2014-08-06,569.000000,593.000000,562.500000,576.224976,538.179321,1224252
2014-08-13,576.299988,655.924988,553.549988,641.750000,599.377991,1537802
2014-08-20,645.250000,647.000000,601.674988,628.299988,586.816040,1932360
2014-08-27,634.400024,644.500000,614.000000,628.575012,587.072937,1148208
2014-09-03,630.000000,650.000000,620.000000,637.525024,595.431946,1756452
2014-09-10,640.000000,755.549988,640.000000,718.174988,670.757019,2093080
2014-09-17,735.000000,735.900024,676.000000,693.174988,647.407715,992150
2014-09-24,702.000000,716.700012,665.000000,696.025024,650.069458,1150538
2014-10-01,684.000000,709.400024,680.500000,700.775024,654.505798,274260
2014-10-08,696.250000,703.000000,651.974976,670.000000,625.762878,919526
2014-10-15,670.000000,701.250000,650.125000,695.549988,649.625854,1084392
2014-10-22,698.000000,738.424988,690.700012,722.724976,675.006531,349408
2014-10-29,729.849976,773.525024,725.125000,754.099976,704.309998,908644
2014-11-05,751.000000,788.000000,750.000000,764.799988,714.303528,1263778
2014-11-12,768.000000,851.950012,767.549988,832.400024,777.440308,2538474
2014-11-19,837.500000,864.900024,781.000000,794.599976,742.135986,1378976
2014-11-26,787.000000,875.000000,786.650024,872.875000,815.242859,1412422
2014-12-03,880.000000,928.299988,876.875000,896.775024,837.564880,1106828
2014-12-10,900.000000,912.125000,863.625000,869.025024,811.647034,868244
2014-12-17,861.500000,910.000000,835.000000,882.049988,823.812134,1404324
2014-12-24,883.000000,895.049988,862.549988,892.000000,833.105103,729962
2014-12-31,897.000000,963.474976,887.500000,940.950012,878.823181,1552522
2015-01-07,945.974976,1008.500000,945.974976,966.700012,902.872986,2623920
2015-01-14,975.500000,1000.000000,948.250000,960.375000,896.965637,1975168
2015-01-21,956.000000,970.000000,948.000000,957.174988,893.976807,1245840
2015-01-28,960.000000,969.000000,937.549988,962.125000,898.600098,1637668
2015-02-04,977.500000,981.849976,923.125000,966.625000,902.802917,2534626
2015-02-11,968.500000,1022.500000,950.000000,1017.099976,949.945313,2666740
2015-02-18,1022.474976,1058.500000,1004.099976,1036.500000,968.064392,1445910
2015-02-25,1040.000000,1094.500000,1016.974976,1084.324951,1012.731689,2749992
2015-03-04,1088.000000,1123.000000,1058.250000,1078.025024,1006.847717,1938038
2015-03-11,1081.500000,1109.400024,1062.525024,1095.474976,1023.145569,1489578
2015-03-18,1100.000000,1125.000000,1040.175049,1074.375000,1003.438599,2244548
2015-03-25,1052.900024,1105.000000,1040.000000,1079.275024,1008.015076,1411308
2015-04-01,1077.750000,1149.500000,1070.675049,1129.550049,1054.970703,1126240
2015-04-08,1137.500000,1160.000000,1110.900024,1155.099976,1078.833740,1468176
2015-04-15,1161.400024,1188.900024,1017.750000,1034.750000,966.429871,1968770
2015-04-22,1034.750000,1090.925049,1003.250000,1047.525024,978.361450,1779144
2015-04-29,1048.000000,1187.199951,1042.500000,1172.474976,1095.061523,796384
2015-05-06,1178.000000,1202.500000,1095.324951,1136.199951,1061.181641,1266730
2015-05-13,1155.000000,1169.474976,1118.000000,1162.375000,1085.628418,748704
2015-05-20,1168.000000,1277.324951,1136.000000,1256.824951,1173.842163,3162594
2015-05-27,1260.000000,1343.000000,1250.000000,1254.550049,1171.717651,3063486
2015-06-03,1257.500000,1372.000000,1212.000000,1298.800049,1213.046021,2820508
2015-06-10,1304.500000,1325.949951,1290.250000,1305.824951,1219.607056,1637594
2015-06-17,1310.000000,1405.000000,1306.000000,1369.349976,1278.937988,2348988
2015-06-24,1373.974976,1391.824951,1325.000000,1381.474976,1290.262085,1541194
2015-07-01,1380.000000,1414.800049,1360.000000,1393.750000,1301.726563,1879582
2015-07-08,1389.500000,1432.500000,1382.500000,1415.650024,1322.180664,1302080
2015-07-15,1420.500000,1462.000000,1411.550049,1437.574951,1342.658325,1541126
2015-07-22,1433.500000,1501.949951,1408.550049,1488.025024,1389.777222,1823712
2015-07-29,1490.500000,1622.750000,1476.000000,1587.824951,1491.229126,3718192
2015-08-05,1609.425049,1692.500000,1548.000000,1683.449951,1581.036743,3960970
2015-08-12,1683.500000,1717.099976,1635.949951,1658.250000,1557.369873,2590448
2015-08-19,1662.500000,1674.199951,1395.000000,1488.449951,1397.899536,2461938
2015-08-26,1487.550049,1525.000000,1430.050049,1460.449951,1371.603027,2373056
2015-09-02,1474.000000,1541.199951,1382.500000,1421.650024,1335.163452,1943852
2015-09-09,1450.000000,1543.000000,1400.000000,1539.599976,1445.938110,1744562
2015-09-16,1550.949951,1572.500000,1440.500000,1450.250000,1362.023560,1552952
2015-09-23,1441.474976,1491.900024,1425.000000,1485.400024,1395.035400,1457102
2015-09-30,1499.500000,1634.974976,1492.500000,1627.199951,1528.208984,2114216
2015-10-07,1630.099976,1650.000000,1541.750000,1557.525024,1462.772705,1347760
2015-10-14,1555.000000,1663.224976,1549.324951,1650.025024,1549.645142,1984406
2015-10-21,1652.500000,1656.199951,1587.800049,1592.099976,1495.244263,1161782
2015-10-28,1572.500000,1627.699951,1572.500000,1588.675049,1492.027710,1471552
2015-11-04,1590.000000,1611.775024,1508.050049,1517.675049,1425.346802,1602152
2015-11-11,1517.675049,1519.500000,1414.500000,1439.050049,1351.505005,1596732
2015-11-18,1440.000000,1504.500000,1422.474976,1470.550049,1381.088745,1389022
2015-11-25,1470.550049,1495.949951,1441.275024,1485.724976,1395.340332,1255826
2015-12-02,1492.000000,1492.000000,1427.550049,1439.150024,1351.598877,860276
2015-12-09,1435.050049,1444.849976,1360.525024,1440.025024,1352.420654,1798908
2015-12-16,1442.349976,1481.500000,1404.025024,1458.449951,1369.724731,1351672
2015-12-23,1462.574951,1492.750000,1440.449951,1488.900024,1398.322388,845664
2015-12-30,1495.000000,1506.500000,1474.025024,1483.349976,1393.110107,1261558
2016-01-06,1476.500000,1503.000000,1420.574951,1470.099976,1380.666260,1521668
2016-01-13,1470.099976,1480.724976,1361.525024,1366.500000,1283.368652,1774262
2016-01-20,1359.925049,1364.525024,1294.375000,1301.300049,1222.135010,2098528
2016-01-27,1306.000000,1437.750000,1300.449951,1396.425049,1311.473022,3341210
2016-02-03,1390.000000,1476.675049,1363.275024,1391.550049,1306.894775,2669358
2016-02-10,1420.000000,1435.000000,1252.525024,1312.949951,1233.076416,3010510
2016-02-17,1322.500000,1409.000000,1272.599976,1401.125000,1315.887451,1934208
2016-02-24,1401.500000,1422.500000,1320.000000,1420.849976,1334.412109,1987246
2016-03-02,1425.500000,1457.250000,1375.000000,1409.525024,1323.776123,1133846
2016-03-09,1404.974976,1430.000000,1375.474976,1379.375000,1295.460205,1123322
2016-03-16,1370.050049,1389.949951,1335.125000,1375.750000,1292.055908,1429944
2016-03-23,1377.574951,1381.050049,1259.525024,1291.574951,1213.001709,1173296
2016-03-30,1309.750000,1358.949951,1295.074951,1320.675049,1240.331421,2366356
2016-04-06,1320.675049,1369.199951,1320.675049,1352.875000,1270.572632,2584160
2016-04-13,1354.300049,1428.000000,1354.300049,1425.324951,1338.614868,1138072
2016-04-20,1422.500000,1443.925049,1390.000000,1418.650024,1332.345947,1886098
2016-04-27,1415.300049,1459.000000,1406.000000,1423.550049,1336.948120,2014742
2016-05-04,1423.500000,1431.500000,1400.000000,1410.449951,1324.644897,1261472
2016-05-11,1405.000000,1508.949951,1395.474976,1502.824951,1411.400146,2018756
2016-05-18,1501.974976,1517.525024,1305.000000,1327.025024,1246.295044,3728092
2016-05-25,1330.349976,1397.500000,1328.750000,1353.099976,1270.783936,3224516
2016-06-01,1370.000000,1411.150024,1362.599976,1397.574951,1312.553223,2675138
2016-06-08,1390.074951,1403.500000,1330.000000,1340.574951,1259.020630,1278550
2016-06-15,1349.500000,1349.500000,1280.150024,1282.425049,1204.408447,2270180
2016-06-22,1284.199951,1376.800049,1259.550049,1374.074951,1290.482788,1996134
2016-06-29,1374.900024,1430.000000,1353.375000,1418.125000,1331.852905,1904366
2016-07-06,1418.125000,1454.275024,1396.199951,1428.599976,1341.690552,1150956
2016-07-13,1434.000000,1446.500000,1376.675049,1380.025024,1296.070923,1379156
2016-07-20,1387.449951,1436.849976,1380.000000,1411.900024,1326.006714,1353238
2016-07-27,1424.000000,1496.949951,1397.500000,1440.349976,1352.725952,1658024
2016-08-03,1449.000000,1658.625000,1405.974976,1564.224976,1479.391235,4962060
2016-08-10,1564.500000,1670.000000,1530.099976,1636.025024,1547.297241,2920366
2016-08-17,1632.500000,1696.449951,1632.500000,1680.675049,1589.525757,1541136
2016-08-24,1684.500000,1749.500000,1670.000000,1721.599976,1628.231079,2011228
2016-08-31,1721.099976,1742.974976,1671.000000,1728.550049,1634.804199,1109088
2016-09-07,1701.000000,1751.750000,1685.000000,1713.974976,1621.019653,1004058
2016-09-14,1713.500000,1792.125000,1699.500000,1705.250000,1612.768066,1700276
2016-09-21,1705.500000,1730.000000,1678.599976,1715.625000,1622.580200,1673940
2016-09-28,1714.900024,1761.000000,1599.849976,1737.675049,1643.434448,1274074
2016-10-05,1740.000000,1753.000000,1685.300049,1688.400024,1596.831665,978612
2016-10-12,1688.400024,1688.400024,1622.500000,1632.300049,1543.774292,959416
