Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,166.899994,187.000000,154.000000,162.399994,159.839783,6479794
2014-02-01,162.899994,172.000000,154.500000,167.300003,164.662552,2758803
2014-03-01,168.000000,215.300003,162.399994,213.850006,210.478699,11147456
2014-04-01,215.649994,233.550003,206.300003,219.800003,216.334900,5900379
2014-05-01,219.800003,261.000000,206.949997,243.149994,239.316788,8045099
2014-06-01,242.550003,263.000000,229.600006,243.649994,239.808899,4020739
2014-07-01,245.850006,253.000000,213.300003,228.500000,224.897736,3995771
2014-08-01,225.000000,239.800003,220.600006,224.199997,222.566177,2154900
2014-09-01,225.899994,252.000000,224.199997,236.899994,235.173630,6249787
2014-10-01,235.449997,248.350006,220.000000,244.149994,242.370789,1759995
2014-11-01,245.649994,264.500000,243.100006,250.649994,248.823425,5214032
2014-12-01,250.699997,282.450012,242.000000,257.549988,255.673141,4087376
2015-01-01,258.000000,287.700012,248.000000,279.500000,277.463196,3416226
2015-02-01,277.049988,309.500000,273.549988,298.750000,296.572906,2961517
2015-03-01,297.049988,303.450012,232.050003,251.149994,249.319778,3263715
2015-04-01,248.000000,282.000000,231.500000,241.949997,240.186829,2567526
2015-05-01,241.949997,273.950012,238.000000,268.049988,266.096619,2525093
2015-06-01,269.950012,272.700012,238.550003,246.850006,245.051132,1688349
2015-07-01,250.000000,295.700012,244.649994,268.100006,266.146271,2722276
2015-08-01,270.500000,358.500000,260.000000,309.399994,309.399994,8292660
2015-09-01,312.000000,336.500000,277.500000,329.100006,329.100006,5324188
2015-10-01,334.299988,375.000000,316.000000,343.500000,343.500000,5139783
2015-11-01,343.500000,366.000000,305.149994,335.250000,335.250000,3632032
2015-12-01,336.500000,353.000000,319.000000,336.250000,336.250000,5344611
2016-01-01,335.600006,339.000000,299.000000,300.250000,300.250000,2979243
2016-02-01,301.500000,309.000000,265.649994,267.350006,267.350006,3133887
2016-03-01,268.000000,313.250000,267.500000,295.850006,295.850006,2597242
2016-04-01,296.950012,351.049988,294.500000,340.049988,340.049988,4121750
2016-05-01,338.899994,346.000000,309.049988,329.500000,329.500000,3566402
2016-06-01,330.000000,377.500000,314.799988,363.649994,363.649994,3463691
2016-07-01,365.450012,384.299988,355.950012,361.299988,361.299988,3091667
2016-08-01,361.700012,385.899994,345.000000,359.649994,359.649994,3758019
2016-09-01,360.899994,360.899994,329.950012,347.200012,347.200012,3902776
2016-10-01,347.899994,369.000000,345.000000,359.049988,359.049988,2191670
2016-11-01,367.250000,373.350006,288.450012,300.600006,300.600006,5071312
2016-12-01,302.899994,309.100006,286.350006,303.200012,303.200012,4541324
2017-01-01,307.899994,340.850006,305.200012,330.649994,330.649994,1102853
2017-02-01,333.299988,394.399994,330.700012,364.100006,364.100006,5331798
2017-03-01,367.950012,406.899994,357.100006,385.049988,385.049988,8329689
2017-04-01,387.899994,489.000000,387.149994,464.299988,464.299988,7175542
2017-05-01,464.299988,586.000000,464.299988,490.649994,490.649994,19078063
2017-06-01,486.000000,564.500000,483.500000,520.000000,520.000000,7154938
2017-07-01,525.000000,539.900024,501.299988,522.150024,522.150024,3817227
2017-08-01,516.000000,584.900024,487.600006,579.500000,579.500000,4477268
2017-09-01,580.000000,679.799988,578.000000,619.750000,619.750000,6589088
2017-10-01,619.750000,697.349976,610.150024,679.299988,679.299988,3446705
2017-11-01,683.000000,740.000000,655.049988,728.200012,728.200012,5088617
2017-12-01,728.200012,749.000000,678.599976,692.549988,692.549988,2954490
2018-01-01,692.549988,911.849976,692.549988,799.599976,799.599976,5858920
2018-02-01,803.400024,849.000000,728.099976,780.200012,780.200012,3699539
2018-03-01,781.000000,785.750000,714.500000,722.900024,722.900024,1695223
2018-04-01,725.000000,828.049988,705.000000,805.250000,805.250000,3959091
2018-05-01,805.250000,920.000000,722.000000,731.049988,731.049988,7075181
2018-06-01,731.000000,797.599976,695.750000,719.049988,719.049988,2789526
2018-07-01,724.049988,739.000000,651.099976,714.750000,714.750000,1957631
2018-08-01,715.000000,758.400024,676.700012,687.700012,687.700012,2751005
2018-09-01,679.200012,704.950012,550.099976,590.900024,590.900024,2877559
2018-10-01,588.000000,614.799988,460.399994,599.200012,599.200012,4910270
2018-11-01,602.099976,689.799988,591.049988,663.200012,663.200012,3209369
2018-12-01,672.000000,715.250000,615.599976,652.700012,652.700012,7049220
