Date,Bharat-Airtel,CoalIndia,Infosys,Asian Paints,State Bank of India,Wipro,Reliance,Axis Bank,Tata Motors,Tata Steel
2014-01-01,304.45459,275.600006,432.174988,490.200012,165.975006,206.231308,421.075012,246.860001,361.432678,376.154388
2014-01-08,301.74649,289.899994,461.106262,487.200012,162.690002,207.262558,440.549988,235.139999,367.863861,357.194244
2014-01-15,279.989899,263.100006,469.456238,479,165.860001,214.312546,432.024994,237.820007,380.57782,365.578644
2014-01-22,281.183289,249.350006,459.625,478,159.595001,213.000046,422.899994,224.389999,352.478485,348.809845
2014-01-29,290.501007,249.199997,445.831238,476.100006,151.600006,208.462555,411,224.649994,342.238037,326.943726
2014-02-05,280.311188,270,449.475006,483.700012,151.850006,211.087555,402.75,224.520004,370.337402,371.723999
2014-02-12,277.419495,255,460,473,149.904999,208.893799,406.375,232.919998,387.305817,361.100616
2014-02-19,263.787201,246.350006,472.837494,472.100006,150.675003,223.181305,405.200012,247.029999,394.380127,343.855438
2014-02-26,264.016693,247.199997,474.987488,475.549988,154.970001,220.931305,407.299988,259.01001,408.528748,335.137573
2014-03-05,278.016205,255.550003,459.09375,480.299988,167.514999,209.962555,437.475006,283.690002,393.885437,327.896484
2014-03-12,271.085297,270.399994,418.65625,501.549988,169.839996,202.612549,447.674988,269.730011,377.362213,324.609436
2014-03-19,270.947601,273.899994,406.450012,524.650024,174.104996,205.687546,439.325012,280.160004,386.563782,349.3815
2014-03-26,289.674805,289.649994,413.825012,536.700012,189.455002,210.187546,470.575012,293.76001,398.733551,382.347412
2014-04-02,291.648499,284.100006,411.40625,538.650024,192.225006,208.650055,472.024994,284.339996,398.980896,386.777802
2014-04-09,298.028595,292.399994,407.556244,534.799988,196.350006,220.875061,474.25,289.149994,407.984558,389.112091
2014-04-16,307.805298,298.899994,393.737488,536.349976,204.934998,199.237549,484.174988,300.01001,424.507751,401.164673
2014-04-23,307.667603,296.75,397.325012,498.299988,206.529999,196.837555,470.149994,305.619995,404.818451,386.34906
2014-04-30,289.399384,296.450012,395.518738,514.75,205.175003,192.975052,481.625,307.589996,413.871582,381.918671
2014-05-07,293.668091,331.649994,408.1875,539.200012,227.625,198.300049,530.674988,329.950012,436.133362,406.738373
2014-05-14,319.234375,366.700012,389.881256,529.049988,252.604996,185.268799,539.25,371.149994,435.094482,444.94455
2014-05-21,308.172485,393.049988,391.737488,522.200012,263.220001,190.050049,543.875,369.709991,431.829437,454.23407
2014-05-28,329.699585,393.100006,376.924988,509.299988,264.329987,185.381302,547.375,379.899994,415.99881,500.919891
2014-06-04,331.535583,420.25,383.399994,535.650024,266.475006,196.800049,558.924988,387.100006,447.511627,532.408997
2014-06-11,311.431396,400.649994,405.90625,559.700012,265.440002,201.000046,544.950012,367.890015,435.984955,506.970001
2014-06-18,312.992004,391.600006,401.287506,578.5,265.950012,199.237549,529.825012,384.929993,437.469086,507.255829
2014-06-25,307.897095,384.850006,402.71875,583.599976,268.079987,201.993805,504,384.059998,446.175903,515.783142
2014-07-02,311.798584,376.850006,416.725006,590.5,257.674988,206.493805,497.575012,377.660004,463.441193,489.057892
2014-07-09,306.703705,364.450012,403.181244,582.950012,251.619995,201.468796,486.100006,379.5,458.147827,501.396301
2014-07-16,324.283386,386.950012,404.387512,602.75,252.399994,209.587555,515.400024,403.519989,480.2612,535.553162
2014-07-23,325.293182,364.399994,420.799988,634.5,249.024994,208.162552,502.649994,395.700012,448.352631,521.690308
2014-07-30,343.790894,361.049988,438.03125,633,246.975006,206.100052,491.799988,392.700012,451.815582,535.172058
2014-08-06,339.568085,364.350006,447.049988,614.299988,242.934998,203.850052,492.25,381.600006,468.882965,516.30719
2014-08-13,345.99408,368.950012,443.887512,615.349976,243.979996,204.881302,504.350006,397.649994,513.258118,518.403259
2014-08-20,337.823883,356.649994,452.575012,608,249.315002,206.662552,497.024994,397.75,507.470062,500.205322
2014-08-27,359.764069,363.649994,451.443756,624.25,252.205002,210.225052,511.950012,408.799988,510.933014,494.67923
2014-09-03,372.753784,380.700012,467.100006,665.049988,256.73999,220.293808,516.650024,419.350006,511.774017,494.012299
2014-09-10,378.766663,344.200012,457.068756,648.349976,256.369995,209.793808,490.225006,398.850006,494.310883,466.905945
2014-09-17,373.212769,334.549988,451.600006,635.299988,255.595001,218.343811,483.049988,399.350006,512.318176,463.142487
2014-09-24,371.101379,341.350006,468.456238,629.400024,244.235001,223.631302,472.674988,377.799988,497.427521,437.608185
2014-10-01,370.366974,340.399994,478.787506,629.299988,236.979996,231.693802,463.325012,374.350006,499.554779,420.124817
2014-10-08,365.776978,344.25,489.831238,646.450012,252.164993,217.612549,480.549988,397.100006,483.031555,434.606964
2014-10-15,377.160156,355.049988,471.774994,644.799988,258.454987,214.968796,464.575012,423,496.388641,434.273499
2014-10-22,374.95697,356.399994,474.256256,646.25,265.640015,207.787552,467.024994,423.850006,503.215607,429.700195
2014-10-29,363.527863,360.299988,510.5625,653.650024,272.125,211.518799,500.600006,444.649994,525.526855,466.048431
2014-11-05,353.15448,345.649994,515.568726,649.5,273.755005,208.968796,488.875,466.799988,516.17688,457.044739
2014-11-12,365.776978,352.149994,522.112488,700.75,293.954987,212.381302,493.875,473.950012,535.569397,463.475952
2014-11-19,370.091583,347.799988,537.893738,691.849976,304.950012,217.893799,496.174988,470.100006,515.236938,442.467346
2014-11-26,352.787262,355.200012,531.987488,769.950012,318.75,221.493805,481.25,492.25,523.399597,442.84845
