Date,BHEL,Bank of Baroda,Britannia,Colgate,Dabur,Godrej,Reliance,Asian Paints,Berger Paints,MuthootFinance
2014-01-01,116.933334,131.470001,459.225006,680.450012,172,180.5,440.227081,499.75,80.839287,108.5
2014-01-02,113.133331,129.960007,454.600006,669.599976,166.899994,166.800003,433.391876,485.549988,80.14286,109.349998
2014-01-03,110.300003,129.970001,458.424988,676.974976,167.050003,167.399994,428.067352,489.5,80.214287,109.150002
2014-01-06,109.533333,127.449997,454.450012,675.75,169.699997,167.899994,423.460999,490.649994,79.660713,107.300003
2014-01-07,110,123.360001,451.924988,670.5,172.600006,167,417.096344,489.950012,79.23214,107.400002
2014-01-08,108.599998,125.919998,453.475006,668.200012,174,166.149994,420.538727,490.5,79.535713,107.449997
2014-01-09,108.599998,124.050003,448.774994,659.974976,173.050003,165,421.355957,490.100006,77.196426,128.899994
2014-01-10,108.666664,122.510002,448.024994,661.224976,173.949997,163.75,425.04599,492,75.178574,138.850006
2014-01-13,109.23333,123.519997,449.325012,661.025024,169.949997,164.800003,436.066528,494.049988,74.64286,138.850006
2014-01-14,108.133331,124.090004,452.524994,658.625,171.800003,165.550003,436.611359,487.399994,73.910713,136.600006
2014-01-15,111.033333,128.580002,453.575012,656.049988,170.600006,165.050003,438.56781,493.5,74.089287,138.149994
2014-01-16,113.23333,128.419998,455.450012,655.674988,168,162.25,438.91452,495.600006,76.928574,132.550003
2014-01-17,114.566666,125.669998,448.375,660.049988,167.199997,159.300003,438.2211,491.549988,76.910713,126.599998
2014-01-20,115.933334,124.530006,443.924988,662,169.75,161.149994,430.791534,490,79.48214,128.100006
2014-01-21,113.166664,126.459999,439.850006,655.150024,167.699997,163.850006,427.472992,479.25,80.089287,133.300003
2014-01-22,113.333336,126.599998,437,660.125,160.800003,165,432.128845,472.600006,77.464279,131.550003
2014-01-23,114.166664,125.410004,436.325012,660.575012,161.75,164.850006,428.835083,473,76.910713,130
2014-01-24,110,120.5,432.600006,660.125,163.949997,160.5,429.751373,478.100006,77.48214,131.600006
2014-01-27,108.166664,113.730003,425.524994,654.25,163,156.399994,417.616425,476.399994,75.178574,125.550003
2014-01-28,109.566666,113.480003,432.799988,653.924988,168.300003,158.25,418.458435,476.799988,74.714287,129.199997
2014-01-29,113.833336,111.160004,434.200012,656.825012,171,159.949997,414.372162,482.899994,74.285713,126.199997
2014-01-30,115.466667,106.269997,434.899994,647.150024,170,155.100006,408.626617,477.5,72.571426,122.300003
2014-01-31,115.166664,109.68,441.274994,649.900024,172,162.399994,411.67276,471.700012,72.60714,127.150002
2014-02-03,111.433334,106.199997,443.049988,655.974976,168.399994,159.850006,406.595886,469.899994,73.875,127.449997
2014-02-04,108.566666,108.480003,437.350006,659.825012,170.050003,158.25,406.917816,476,72.428574,129.100006
2014-02-05,107.23333,108.650002,435.100006,660.575012,173.100006,159.350006,404.788025,484.450012,74.857147,133.649994
2014-02-06,104.73333,107.650002,443.600006,661.575012,173.25,158.850006,404.094574,484.049988,75.25,132.149994
2014-02-07,103.833336,111.580002,450.399994,652.575012,174.800003,159.149994,403.401154,490.5,75.053574,138.300003
2014-02-10,103.933334,112.459999,455.100006,655.049988,174.649994,158.800003,407.115936,487,75.01786,145.5
2014-02-11,103.400002,112.269997,450.649994,659.075012,176.300003,158.850006,398.84436,484.350006,75.178574,160.25
2014-02-12,104.900002,112.349998,452.875,662.625,177.75,158.25,405.109955,477.350006,74.571426,175.25
2014-02-13,101.300003,106.059998,449.700012,656.549988,172,155.899994,399.909271,468.799988,73.60714,160.649994
2014-02-14,99,107.260002,451.299988,662.875,173.649994,156.050003,407.165466,472.799988,74.946426,165.75
2014-02-17,98.366669,106.610001,450.274994,662.174988,172.649994,155.899994,402.336243,473.25,73.85714,160.300003
2014-02-18,99.766663,107.580002,456.524994,655.549988,170.800003,157.399994,402.757263,473.100006,73.589287,160.600006
2014-02-19,100.433334,106.300003,457.674988,660.25,170.550003,156.5,402.311493,468.5,74,161.050003
2014-02-20,100.633331,102.760002,452.475006,654.825012,170.149994,157.050003,398.94342,461.600006,73.303574,155.850006
2014-02-21,100.400002,103.599998,447.799988,654.525024,173.199997,159.949997,401.940002,464,76.410713,154.600006
2014-02-24,104.366669,105.550003,445.375,655.325012,172.649994,158,402.361023,470.799988,75.464287,164.5
2014-02-25,106.466667,107.449997,447.575012,657.424988,172.050003,167.899994,401.469482,472.049988,75.01786,166.25
2014-02-26,108.266663,107.669998,443.299988,656.325012,172.100006,166.25,401.543762,477.149994,75.071426,163.5
2014-02-28,111.833336,110.230003,444.200012,656.775024,173.449997,167.300003,396.219238,473,75.714287,165.300003
2014-03-03,108.466667,109.190002,433.149994,659.125,172.300003,163.050003,397.92804,472.950012,73.821426,163.350006
2014-03-04,111.300003,115.349998,432.350006,657.075012,174.050003,165.399994,402.658203,475.600006,74.64286,162.75
2014-03-05,111.333336,122.610001,445.524994,657.974976,171.699997,164.949997,399.711151,474.600006,74.35714,167.949997
2014-03-06,115.566666,123.110001,442.174988,662.125,172.850006,169.5,407.363586,474.549988,74.48214,165.5
2014-03-07,123.23333,129.910004,437.450012,668.299988,171.550003,169.949997,430.618164,481,75,163.600006
2014-03-10,126.300003,130.389999,437.625,659.174988,172.899994,171.300003,438.56781,484.850006,75.660713,171.5
2014-03-11,126.23333,129.580002,436.774994,663.549988,174.699997,179.350006,433.268066,480.700012,75.26786,169.699997
2014-03-12,122.633331,128.389999,433.049988,659.650024,173.199997,182.300003,431.584015,494.299988,74.85714,169.399994
2014-03-13,122.066666,128.690002,431.450012,656.875,171.800003,176.850006,435.645508,493.75,74.535713,168.699997
2014-03-14,125.300003,131.380005,429.200012,654.400024,173.949997,178.149994,438.91452,495.5,74.660713,166
2014-03-18,126,131.919998,427.975006,659.825012,177.050003,175.449997,444.016174,501.600006,75.428574,156.25
2014-03-19,126.766663,131.860001,427.149994,662.775024,177.899994,174.149994,447.260406,513.049988,74.839287,158.100006
2014-03-20,123.23333,128.25,427.899994,676.974976,179.050003,175.949997,448.746338,515.599976,74.35714,156.75
2014-03-21,125.166664,131.229996,429.149994,667.299988,179.949997,177,438.74118,510.100006,75.5,156.850006
2014-03-22,125.166664,131.229996,429.149994,667.299988,179.949997,177,438.74118,510.100006,75.5,156.850006
