Date,BHEL,Bank of Baroda,Britannia,Colgate,Dabur,Godrej,Reliance,Asian Paints,Berger Paints,MuthootFinance
2014-01-01,110,123.360001,451.924988,670.5,172.600006,167,417.096344,489.950012,79.23214,107.400002
2014-01-08,108.133331,124.090004,452.524994,658.625,171.800003,165.550003,436.611359,487.399994,73.910713,136.600006
2014-01-15,113.166664,126.459999,439.850006,655.150024,167.699997,163.850006,427.472992,479.25,80.089287,133.300003
2014-01-22,109.566666,113.480003,432.799988,653.924988,168.300003,158.25,418.458435,476.799988,74.714287,129.199997
2014-01-29,108.566666,108.480003,437.350006,659.825012,170.050003,158.25,406.917816,476,72.428574,129.100006
2014-02-05,103.400002,112.269997,450.649994,659.075012,176.300003,158.850006,398.84436,484.350006,75.178574,160.25
2014-02-12,99.766663,107.580002,456.524994,655.549988,170.800003,157.399994,402.757263,473.100006,73.589287,160.600006
2014-02-19,106.466667,107.449997,447.575012,657.424988,172.050003,167.899994,401.469482,472.049988,75.01786,166.25
2014-02-26,111.300003,115.349998,432.350006,657.075012,174.050003,165.399994,402.658203,475.600006,74.64286,162.75
2014-03-05,126.23333,129.580002,436.774994,663.549988,174.699997,179.350006,433.268066,480.700012,75.26786,169.699997
2014-03-12,126,131.919998,427.975006,659.825012,177.050003,175.449997,444.016174,501.600006,75.428574,156.25
2014-03-19,131.03334,132.850006,420.575012,671.599976,176,182.949997,435.521698,525.299988,79.5,169.75
2014-03-26,129.666672,147.369995,420.600006,675.799988,188.350006,218.350006,466.874481,536.650024,82.14286,169.550003
2014-04-02,118.433334,150.070007,416.325012,693.875,183.5,227.699997,467.642212,539.549988,82.48214,163.449997
2014-04-09,121.333336,150.619995,441.475006,698.650024,178.800003,212.75,470.093994,534.5,83.946426,164.800003
2014-04-16,124.533333,156.100006,456.225006,720.549988,179.800003,221.899994,479.331421,536.400024,87.535713,175
2014-04-23,124.366669,163.429993,431.399994,730.474976,177.800003,217,465.735291,497.600006,86.178574,175.449997
2014-04-30,119.300003,161.169998,425.200012,711.924988,179.199997,213.75,477.152069,514.75,86.625,180.100006
2014-05-07,145.96666,175.570007,437.075012,703.299988,188.850006,215.75,526.707336,540.349976,85.35714,193.350006
2014-05-14,185.199997,187.410004,417.725006,681.025024,182.949997,239.850006,534.855103,528.900024,85.23214,195.300003
2014-05-21,163.766663,177.350006,435.625,663.450012,179.550003,233.699997,538.867065,523.75,86.25,192.850006
2014-05-28,171.566666,173.899994,449.100006,702.150024,185.300003,248.199997,542.557129,509.100006,86.571426,204.449997
2014-06-04,170.53334,177.619995,437.924988,726.900024,191.899994,257.899994,553.899597,536.25,96.446426,189.850006
2014-06-11,165.199997,175.25,473.649994,755.049988,188.449997,247.350006,539.907227,560.599976,96.23214,191.350006
2014-06-18,166.866669,172.940002,471,761.900024,185.800003,237.850006,524.949036,579.900024,97.928574,188.149994
2014-06-25,168.300003,175.649994,508.100006,765.224976,187,246,499.267456,583.849976,105.446426,189.050003
2014-07-02,161.933334,166.470001,510.200012,800.825012,192.5,232.350006,492.853241,590.099976,108.196426,184.300003
2014-07-09,156.433334,165.910004,491.799988,808.474976,194.600006,224.649994,481.535522,582.5,104.23214,177.550003
2014-07-16,156.03334,166.399994,520.275024,820.474976,192.949997,246.149994,510.634705,603.599976,104.428574,178.75
2014-07-23,153.233337,173.320007,535.575012,795.174988,197.949997,229,498.078705,636,106.696426,176.699997
2014-07-30,152.100006,181.880005,564.375,770.924988,202.850006,235.699997,487.305817,633.400024,110.071426,177.25
2014-08-06,149.46666,182.820007,576.224976,736.849976,206.100006,227.800003,487.578247,614.200012,107.160713,178.550003
2014-08-13,151.699997,177.449997,641.75,743.174988,225.75,227.75,499.911346,615.299988,120.035713,194.25
2014-08-20,155.333328,178.270004,628.299988,754.400024,227.149994,224.75,492.01123,608,122.39286,192.149994
2014-08-27,160.199997,177.940002,628.575012,771.599976,227,231.75,507.093262,624.25,122.660713,191.100006
2014-09-03,147.46666,180.470001,637.525024,785.150024,228.25,236.75,511.650055,665.150024,125.660713,190
2014-09-10,143.933334,184.630005,718.174988,824.325012,221.050003,233.850006,485.101715,646.799988,124.625,190.149994
2014-09-17,144.300003,185.850006,693.174988,811,220.5,238.600006,478.39035,634.799988,125.803574,201.199997
2014-09-24,133.633331,180.460007,696.025024,871.275024,222.149994,236.899994,468.409943,629.549988,135.357147,204.399994
2014-10-01,131.633331,173.279999,700.775024,867.849976,215.75,237.75,458.726715,629.099976,144.017853,193.649994
2014-10-08,150.666672,174.300003,670,850.650024,210,237.449997,476.111938,646.099976,136.928574,188.550003
2014-10-15,158.96666,176.759995,695.549988,853.150024,209.449997,233.75,460.311707,644.25,125.660713,186.25
2014-10-22,170.199997,183.940002,722.724976,847.25,213.449997,236.550003,462.639648,646.700012,138.053574,186.75
2014-10-29,168.899994,190.009995,754.099976,846.599976,230.350006,251.25,496.468964,653.599976,140.285721,198.350006
2014-11-05,163.53334,202.410004,764.799988,928.700012,229.149994,252.600006,484.259705,649.299988,131.017853,195.800003
2014-11-12,169.46666,211.199997,832.400024,977.224976,232.100006,250.649994,489.683289,700.900024,129.446426,192.899994
2014-11-19,177,202.309998,794.599976,949.150024,242.899994,250.649994,491.83786,691.75,126.625,185.300003
2014-11-26,180.96666,216.910004,872.875,954.349976,243.050003,250.949997,476.805359,770.049988,151.303574,193.050003
2014-12-03,172.866669,209.929993,896.775024,904.450012,239.25,263.200012,465.512421,781.799988,144.428574,195.5
2014-12-10,165.199997,201.699997,869.025024,859.025024,223.300003,248.399994,428.240692,758.849976,137.339279,195.350006
2014-12-17,174.399994,211.850006,882.049988,894.299988,232.800003,248.149994,442.678833,739.25,143.178574,189.600006
2014-12-24,172.233337,216.470001,892,888.625,232.300003,257.299988,435.942688,749.950012,142.535721,191.399994
2014-12-31,173.96666,211.899994,940.950012,920.075012,224.350006,255.449997,414.124512,756.5,151.196426,195.949997
2015-01-07,171.666672,216.320007,966.700012,969.849976,235.75,252.699997,417.616425,833.849976,167.571426,196.050003
2015-01-14,187.5,217.360001,960.375,963,254.149994,269.350006,447.285187,839.200012,163.321426,216.850006
2015-01-21,187.933334,222.949997,957.174988,963.224976,248.75,275.350006,440.350922,890.5,161.607147,221.949997
2015-01-28,198.066666,185.050003,962.125,923.474976,265.850006,282,464.39798,814.700012,153.928574,208.100006
2015-02-04,174.333328,176.399994,966.625,916.450012,270.5,287.399994,436.859009,822.200012,149.678574,214.550003
2015-02-11,173.03334,182.75,1017.099976,959.025024,266.850006,295.799988,447.161346,834.150024,153.392853,212.949997
2015-02-18,185.166672,176.75,1036.5,986.575012,268.149994,301.399994,416.774384,799.549988,158.785721,218.350006
2015-02-25,183.166672,187.199997,1084.324951,1004.275024,264.049988,298,446.170746,838.299988,160.178574,220.5
2015-03-04,172.733337,179.850006,1078.025024,1044.050049,265.799988,272.350006,425.54129,807.950012,147.678574,212.550003
2015-03-11,176.53334,182.399994,1095.474976,1029.199951,283.299988,264.700012,424.4021,831.400024,156.857147,205.100006
2015-03-18,160,167.899994,1074.375,1028.724976,266.5,250.899994,419.993866,813.299988,152.75,194.449997
2015-03-25,156.899994,163.5,1079.275024,1007.150024,265.549988,251.149994,409.121948,811.299988,149.035721,207.050003
2015-04-01,155.666672,170.050003,1129.550049,1049.724976,274.299988,276.25,412.514771,835.200012,156.214279,204.149994
2015-04-08,161.766663,175.550003,1155.099976,1074.574951,283.600006,274.25,456.918854,862.049988,160,199.550003
2015-04-15,151.333328,180.149994,1034.75,990.900024,268.549988,260.350006,434.110077,796.5,146.392853,191.550003
2015-04-22,155.300003,173.449997,1047.525024,1007.825012,259.100006,244.199997,428.537903,765.450012,149.214279,183.550003
2015-04-29,163.433334,170,1172.474976,1030.375,264.600006,249.600006,441.886353,781.400024,155.142853,184.300003
2015-05-06,148.399994,158.399994,1136.199951,1021.525024,260.649994,242.75,430.271454,758.349976,147.964279,185.949997
2015-05-13,156.766663,160.649994,1162.375,1037.050049,264.700012,239.899994,443.570404,774.75,149.535721,191.25
2015-05-20,160.96666,159.449997,1256.824951,998.575012,270.649994,255.350006,438.14682,763.5,150.857147,185.75
2015-05-27,167.399994,160.399994,1254.550049,975.125,266.75,255.25,445.105835,759.200012,145.785721,185.800003
2015-06-03,160.899994,153.149994,1298.800049,951.450012,253.75,250.100006,437.701019,735.700012,139.5,185.449997
2015-06-10,163.733337,142,1305.824951,968.174988,256.549988,241.949997,447.730957,704.950012,123.678574,187
2015-06-17,162.53334,150.300003,1369.349976,978.625,269.75,250.149994,492.828491,756.5,139.571426,189
2015-06-24,165.266663,144.149994,1381.474976,1019.875,280.100006,246.850006,495.354523,755.349976,139.535721,202.050003
2015-07-01,172.666672,153.649994,1393.75,1030.300049,288.399994,254,496.914734,824.599976,154.107147,208.550003
2015-07-08,182.100006,155.800003,1415.650024,1003.075012,296.149994,253.699997,494.215332,822.700012,150.714279,200.699997
2015-07-15,189.100006,150.699997,1437.574951,1025.050049,302.25,273.200012,499.168396,816.049988,153.678574,202.899994
2015-07-22,185.933334,153.850006,1488.025024,1027.875,294.450012,258.100006,500.381866,835.150024,151.571426,191.050003
2015-07-29,187.866669,191.050003,1587.824951,992.200012,292.200012,261.25,489.361328,905.700012,162.392853,192.300003
2015-08-05,178.03334,178.050003,1683.449951,1007.974976,299.899994,309.350006,478.46463,883.400024,164.5,179.350006
2015-08-12,174.333328,212.899994,1658.25,993.224976,303.100006,332.200012,467.617462,901.349976,162.035721,181
