Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,294.049988,295.149994,274.100006,275.600006,156.210144,1044143
2014-01-08,278.25,298,277.049988,289.899994,164.315353,2427186
2014-01-15,301.299988,304.950012,262.299988,263.100006,149.125122,8303824
2014-01-22,262,265.399994,247.5,249.350006,156.306488,1303129
2014-01-29,249.899994,252.899994,243.449997,249.199997,156.212448,985700
2014-02-05,249.050003,271.100006,248.050003,270,169.251068,2014696
2014-02-12,267.899994,270.799988,253.25,255,159.848236,1377609
2014-02-19,256.75,257.549988,245.699997,246.350006,154.425919,723309
2014-02-26,245.699997,247.850006,240.5,247.199997,154.958755,2717150
2014-03-05,248.600006,265.899994,247.600006,255.550003,160.192993,1531581
2014-03-12,254.75,271,252.850006,270.399994,169.501785,970971
2014-03-19,270.600006,275.5,256.299988,273.899994,171.695786,2804601
2014-03-26,274.299988,292.100006,273.100006,289.649994,181.568787,1443686
2014-04-02,291,293,275.299988,284.100006,178.089722,672127
2014-04-09,283.600006,294.950012,283.600006,292.399994,183.292648,896533
2014-04-16,291.100006,300.700012,286.399994,298.899994,187.367172,842196
2014-04-23,300.899994,304.149994,292.350006,296.75,186.019455,667179
2014-04-30,298,299.950012,289.5,296.450012,185.831406,586345
2014-05-07,295.25,342.350006,293.200012,331.649994,207.896713,2421114
2014-05-14,333,393.799988,327.75,366.700012,229.868027,4900154
2014-05-21,366.700012,417,355.450012,393.049988,246.385681,5699315
2014-05-28,393.399994,394.799988,367.049988,393.100006,246.417023,3143200
2014-06-04,394,423.5,385.549988,420.25,263.436188,4363423
2014-06-11,422.850006,423.850006,378.5,400.649994,251.149796,2957328
2014-06-18,402.799988,403.899994,381.299988,391.600006,245.4767,1887858
2014-06-25,394,403,380.299988,384.850006,241.245453,1762182
2014-07-02,389.75,399.5,373,376.850006,236.230591,1538097
2014-07-09,378.5,384,353,364.450012,228.457596,2915411
2014-07-16,366.5,388.450012,359,386.950012,242.561859,1864485
2014-07-23,390,393.25,363.200012,364.399994,228.426254,1675272
2014-07-30,364,372.850006,353.950012,361.049988,226.326263,3114000
2014-08-06,360.899994,366.5,351.799988,364.350006,228.394943,847147
2014-08-13,365.100006,372,348,368.950012,231.278458,941949
2014-08-20,369.700012,370.5,351.5,356.649994,223.56813,1014672
2014-08-27,357,368,354.200012,363.649994,227.956131,669026
2014-09-03,364.799988,382.899994,362.549988,380.700012,238.644028,1541282
2014-09-10,382.200012,384.899994,342.549988,344.200012,215.763794,1629866
2014-09-17,346,349.450012,333,334.549988,209.7146,1175058
2014-09-24,336,362.350006,335.649994,341.350006,213.977249,2626497
