Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,457.600006,466.500000,420.100006,441.274994,407.386536,2755212
2014-02-01,442.500000,461.125000,433.000000,444.200012,410.086945,2191306
2014-03-01,449.500000,449.500000,404.549988,421.700012,389.314911,3857668
2014-04-01,420.200012,461.500000,414.500000,432.024994,398.846924,3775978
2014-05-01,432.024994,450.000000,410.475006,440.549988,406.717194,5006208
2014-06-01,445.500000,512.000000,436.075012,504.200012,465.479126,6930734
2014-07-01,505.000000,576.974976,484.475006,574.200012,530.103394,4324300
2014-08-01,565.000000,655.924988,542.000000,621.450012,580.418396,6304966
2014-09-01,614.000000,755.549988,614.000000,696.025024,650.069458,6350864
2014-10-01,684.000000,773.525024,650.125000,765.400024,714.863892,3425994
2014-11-01,768.000000,864.900024,750.000000,823.974976,769.571594,6125964
2014-12-01,825.000000,932.500000,820.099976,920.049988,859.303101,5261110
2015-01-01,919.275024,1008.500000,911.625000,944.500000,882.138855,7657114
2015-02-01,944.500000,1058.500000,923.125000,1041.724976,972.944336,8671666
2015-03-01,1049.000000,1125.000000,1028.125000,1079.275024,1008.015076,8613248
2015-04-01,1077.750000,1188.900024,1003.250000,1098.925049,1026.367798,6845986
2015-05-01,1098.925049,1343.000000,1095.324951,1272.349976,1188.342163,7921724
2015-06-01,1280.000000,1405.000000,1212.000000,1381.474976,1290.262085,8960802
2015-07-01,1380.000000,1622.750000,1360.000000,1576.824951,1472.713989,8112656
2015-08-01,1588.000000,1717.099976,1395.000000,1464.974976,1375.852905,13100052
2015-09-01,1450.000000,1572.500000,1382.500000,1541.000000,1447.252930,7747996
2015-10-01,1554.875000,1663.224976,1541.750000,1615.949951,1517.643188,6982744
2015-11-01,1611.849976,1619.500000,1414.500000,1461.525024,1372.612671,6004780
2015-12-01,1463.050049,1506.500000,1360.525024,1483.150024,1392.922119,5831270
2016-01-01,1481.199951,1503.000000,1294.375000,1344.724976,1262.918213,8008308
2016-02-01,1355.000000,1476.675049,1252.525024,1378.125000,1294.286377,10610740
2016-03-01,1378.000000,1457.250000,1259.525024,1343.250000,1261.533081,6406230
2016-04-01,1330.750000,1459.000000,1303.574951,1431.300049,1344.226563,8184612
2016-05-01,1428.000000,1517.525024,1305.000000,1353.099976,1270.783936,10821372
2016-06-01,1370.000000,1411.150024,1259.550049,1379.474976,1295.554443,9245496
2016-07-01,1376.875000,1472.099976,1375.775024,1466.900024,1377.660767,5892108
2016-08-01,1473.949951,1749.500000,1405.974976,1730.275024,1636.435791,12252518
2016-09-01,1733.000000,1792.125000,1599.849976,1682.000000,1590.778931,6026850
2016-10-01,1698.925049,1761.000000,1597.500000,1655.974976,1566.165283,4254806
2016-11-01,1657.500000,1690.000000,1390.599976,1516.449951,1434.207153,8452066
2016-12-01,1518.025024,1541.400024,1386.425049,1443.150024,1364.882690,5794398
2017-01-01,1450.550049,1581.000000,1415.224976,1565.224976,1480.337036,7012608
2017-02-01,1566.849976,1648.000000,1556.375000,1614.699951,1527.128662,5500474
2017-03-01,1616.000000,1716.474976,1522.650024,1687.000000,1595.507568,8347168
2017-04-01,1688.500000,1819.500000,1636.400024,1812.275024,1713.988403,4160210
2017-05-01,1812.275024,1899.750000,1685.750000,1766.324951,1670.530518,6347646
2017-06-01,1792.500000,1857.000000,1761.500000,1845.025024,1744.962402,5013640
2017-07-01,1863.000000,1978.300049,1828.025024,1960.800049,1854.458496,4624010
2017-08-01,1959.900024,2169.925049,1915.000000,2115.475098,2012.166138,8006606
2017-09-01,2110.000000,2204.500000,2075.500000,2172.125000,2066.049805,5213020
2017-10-01,2172.125000,2385.000000,2151.149902,2319.750000,2206.465576,6035066
2017-11-01,2321.000000,2463.300049,2292.399902,2407.800049,2290.215088,12877092
2017-12-01,2420.524902,2481.949951,2299.199951,2354.625000,2239.637207,5345604
2018-01-01,2375.000000,2393.000000,2300.500000,2342.074951,2227.699951,5492764
2018-02-01,2342.125000,2532.899902,2200.000000,2497.125000,2375.178467,5624444
2018-03-01,2492.500000,2502.000000,2390.000000,2485.300049,2363.930908,5406676
2018-04-01,2499.000000,2768.225098,2487.199951,2756.600098,2621.981934,4040734
2018-05-01,2756.600098,3007.899902,2650.500000,2961.975098,2817.327148,5120960
2018-06-01,2987.000000,3128.975098,2855.300049,3106.875000,2955.151367,4345012
2018-07-01,3113.500000,3287.100098,3085.074951,3271.100098,3111.356201,4554246
2018-08-01,3290.000000,3467.175049,3085.000000,3368.375000,3241.731445,7332472
2018-09-01,3395.000000,3407.475098,2685.024902,2911.750000,2802.274658,7792140
2018-10-01,2930.000000,2940.000000,2628.000000,2822.050049,2715.947021,7861960
2018-11-01,2840.000000,3197.000000,2782.500000,3169.750000,3050.574463,7356846
2018-12-01,3175.000000,3245.000000,2930.000000,3115.399902,2998.267822,4999251
