Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,108.050003,152.399994,106.5,127.150002,106.971466,20728678
2014-02-01,126,179.350006,123.599998,165.300003,139.067123,24280736
2014-03-01,165,174.899994,154.25,172,147.010788,8728159
2014-04-01,172.5,186.850006,153.199997,179.350006,153.292953,7789068
2014-05-01,179.350006,222,176,195.399994,167.011078,7737158
2014-06-01,201.699997,207.5,178,188.300003,160.942642,4987676
2014-07-01,189.399994,195.5,167,172.899994,147.780029,10935082
2014-08-01,170.949997,202,166.199997,195.600006,167.182053,7789625
2014-09-01,194,208,177.149994,204.399994,174.703522,6058017
2014-10-01,203,209,182.149994,197.300003,169.527298,1720175
2014-11-01,197.5,202,184.149994,195.75,171.887024,4586535
2014-12-01,198,202.949997,187,192.350006,168.901505,2434542
2015-01-01,196,234.899994,190.550003,211.149994,185.409683,20450491
2015-02-01,211,224.149994,203.699997,219.899994,193.093018,6882988
2015-03-01,238.149994,240.25,190,207.050003,181.809494,5016674
2015-04-01,202.350006,209.449997,178.199997,183.5,161.130356,2048503
2015-05-01,183.5,204,172.550003,195.050003,171.272354,7090734
2015-06-01,195,205.899994,173.5,202.050003,177.419037,6448925
2015-07-01,203.649994,236.800003,190.050003,198.25,174.08226,4360641
2015-08-01,198,201,151,172.5,151.471313,2739362
2015-09-01,169,175.5,152.199997,164.199997,144.183105,4056591
2015-10-01,164.199997,190,160.699997,180.350006,160.381088,4823184
2015-11-01,185,186.899994,175,180.899994,160.870193,8546499
2015-12-01,181,199.449997,172,179.649994,163.284302,7415502
2016-01-01,180.300003,193,167.850006,192.300003,174.781921,3499669
2016-02-01,193.449997,202,170.300003,173.850006,158.012665,1496190
2016-03-01,175.850006,179.899994,172.050003,178.75,162.466309,1419570
2016-04-01,178.699997,213.449997,175.5,203.100006,186.68866,3350739
2016-05-01,197.5,238.5,188.550003,232.399994,213.621094,10838638
2016-06-01,233.5,296,232.699997,293.049988,269.370331,21784845
2016-07-01,295.899994,340,266.5,331.75,304.943207,18700456
2016-08-01,332.100006,406.799988,323.5,375.75,345.387787,43858254
2016-09-01,376.799988,388.899994,330.200012,348.799988,320.615479,15158003
2016-10-01,354.700012,377.350006,334.149994,358.899994,329.899353,9578732
2016-11-01,373.649994,373.799988,280,302.950012,278.470367,13773513
2016-12-01,305.399994,307.549988,262,282.700012,259.856628,7584037
2017-01-01,285,330,281.149994,305.649994,280.952179,7638227
2017-02-01,308.950012,364.600006,307,356.299988,327.50943,8981749
2017-03-01,356.899994,389.950012,325,368.950012,339.137268,7479917
2017-04-01,370,419.399994,368.149994,394.299988,368.280731,22513824
2017-05-01,394.299988,415.5,357.450012,412.649994,385.419861,17470332
2017-06-01,412.600006,481.950012,403.350006,455.149994,425.115326,17184627
2017-07-01,458,483.399994,440.5,474.149994,442.861542,13469548
2017-08-01,474.799988,489,414,476.25,444.822998,14160843
2017-09-01,476,525.5,455.149994,474.899994,443.562042,20958071
2017-10-01,474.899994,509.899994,471.600006,493.299988,460.747864,11321871
2017-11-01,496.450012,518.849976,425.100006,442.399994,413.206696,15137592
2017-12-01,449,484,409,474.649994,443.328583,12336641
2018-01-01,474.899994,478.600006,400.75,415.25,387.848297,13915235
2018-02-01,414,439.950012,363.5,391.799988,365.945709,18226556
2018-03-01,392,412,363.850006,407.450012,389.834869,12811392
2018-04-01,408.700012,459,400.299988,450.850006,431.358551,12814763
2018-05-01,450.850006,457.350006,387,389.649994,372.804382,19489320
2018-06-01,390,399.450012,369.049988,379.5,363.093201,13234824
2018-07-01,379.049988,423,374,404.549988,387.060211,16313857
2018-08-01,404.549988,432.700012,390,409.399994,391.700531,10040266
2018-09-01,414.799988,479.350006,385.850006,403.399994,385.95993,45274683
2018-10-01,395.5,443.700012,356,409.350006,391.65271,22584576
2018-11-01,412.299988,472.899994,410,452.600006,433.032898,13305545
2018-12-01,453,518.599976,389.299988,516,493.691925,51904943
