Date,Bharat-Airtel,CoalIndia,Infosys,Asian Paints,State Bank of India,Wipro,Reliance,Axis Bank,Tata Motors,Tata Steel
2014-01-01,309.916687,291.899994,433.299988,499.850006,176.529999,207.281296,444.350006,258.350006,370.93103,404.975769
2014-01-02,301.195709,283,434.34375,485.5,174.25,207.337555,437.674988,254.550003,368.012268,399.687866
2014-01-03,301.884186,277.75,445.681244,489.399994,171.610001,208.931305,432.5,252.130005,358.860199,393.113739
2014-01-06,301.838287,276.399994,439.274994,490.399994,168.764999,209.268799,427.450012,251.190002,362.966248,388.969177
2014-01-07,304.45459,275.600006,432.174988,490.200012,165.975006,206.231308,421.075012,246.860001,361.432678,376.154388
2014-01-08,305.280792,288.75,428.5625,490.5,165.539993,204.862549,424.125,242.559998,366.330261,373.724823
2014-01-09,302.205505,295.700012,431.381256,490.100006,163.910004,202.781296,425.274994,236.990005,364.252502,372.438599
2014-01-10,303.490692,288.700012,443.612488,492.75,160.884995,207.956299,428.450012,232.910004,364.252502,366.150299
2014-01-13,304.087402,290.25,458.212494,494.600006,164.195007,210.543808,439.5,236.690002,372.068878,367.912933
2014-01-14,301.74649,289.899994,461.106262,487.200012,162.690002,207.262558,440.549988,235.139999,367.863861,357.194244
2014-01-15,304.362793,295.149994,463.818756,492.950012,164.354996,210.037552,442.700012,235.630005,372.761444,357.194244
2014-01-16,289.628906,302.700012,465.587494,496.5,163.699997,213.900055,442.575012,235.389999,365.835571,363.006134
2014-01-17,285.681488,272.75,466.006256,491.75,162.205002,207.168808,442.274994,230.559998,365.736603,359.719086
2014-01-20,283.432404,269.700012,468.737488,490.100006,164.100006,214.987549,434.75,232.309998,370.634216,357.051331
2014-01-21,279.989899,263.100006,469.456238,479,165.860001,214.312546,432.024994,237.820007,380.57782,365.578644
2014-01-22,284.350403,261.899994,470.887512,473.75,164.574997,216.543808,436.100006,237.369995,381.220947,373.915375
2014-01-23,288.848602,259.299988,474.100006,473.149994,165.705002,216.900055,433.024994,243.259995,378.945282,370.77124
2014-01-24,287.609314,257.899994,469.881256,478.399994,162.195007,214.950058,433.5,241.389999,366.577606,358.671021
2014-01-27,281.871796,248.949997,466.575012,475.950012,159.455002,214.050049,421.399994,231.990005,344.11795,337.043121
2014-01-28,281.183289,249.350006,459.625,478,159.595001,213.000046,422.899994,224.389999,352.478485,348.809845
2014-01-29,276.914612,251,464.706238,482.75,157.365005,214.425049,418.375,227.929993,348.125061,341.092377
2014-01-30,283.111115,246.149994,463.09375,478.600006,151.755005,214.443802,412.850006,221.990005,357.376068,330.183136
2014-01-31,289.307587,247.5,462.431244,472.25,152.559998,215.606308,415.424988,223.910004,346.14624,339.329773
2014-02-03,280.862,245.899994,453.587494,471.149994,148.985001,212.231308,410.649994,224.610001,333.036499,327.181915
2014-02-04,290.501007,249.199997,445.831238,476.100006,151.600006,208.462555,411,224.649994,342.238037,326.943726
2014-02-05,288.665009,255.100006,447.693756,483.899994,152.110001,209.925049,408.075012,224.240005,352.033234,342.283356
2014-02-06,289.399384,266.799988,445.431244,483.950012,150.425003,213.131302,407.924988,220.570007,353.863647,344.28418
2014-02-07,289.628906,269.450012,445.837494,490.5,152.675003,210.356308,407.149994,225.149994,357.079254,366.293213
2014-02-10,282.193085,270.049988,446.0625,486.950012,151.429993,211.143799,410.799988,224.020004,360.146423,364.435303
2014-02-11,280.311188,270,449.475006,483.700012,151.850006,211.087555,402.75,224.520004,370.337402,371.723999
2014-02-12,282.881592,269.899994,449.950012,477.399994,153.270004,210.806305,408.725006,223.839996,372.068878,356.670227
2014-02-13,277.786713,260.75,448.306244,470.049988,149.964996,208.368805,403.725006,220.240005,371.96991,350.000824
2014-02-14,280.173492,260.549988,455.700012,472.299988,147.509995,211.500046,410.75,220.539993,384.040771,353.526062
2014-02-17,280.081696,256.399994,457.78125,472.950012,147.339996,210.318802,405.725006,223.070007,382.259827,355.860352
2014-02-18,277.419495,255,460,473,149.904999,208.893799,406.375,232.919998,387.305817,361.100616
2014-02-19,278.016205,254.649994,469.243744,468.600006,150.865005,211.706299,406.274994,232.940002,387.305817,356.384369
2014-02-20,272.508209,251.300003,464.212494,462.200012,148.149994,212.100052,402.674988,231.350006,387.058472,349.953186
2014-02-21,264.567505,251.199997,468.962494,464.200012,150.309998,214.425049,405.649994,237.949997,391.758179,356.241455
2014-02-24,259.702118,252.050003,468.84375,470.200012,151.074997,216.787552,406.200012,247.100006,392.401306,351.763428
2014-02-25,263.787201,246.350006,472.837494,472.100006,150.675003,223.181305,405.200012,247.029999,394.380127,343.855438
2014-02-26,264.521606,243.600006,475.481262,476.549988,152.164993,226.256302,405.274994,247.240005,396.210541,332.755646
2014-02-28,263.924896,244,477.524994,472.950012,153.169998,223.781311,399.625,253.179993,412.634796,327.801208
2014-03-03,263.006897,244.350006,474.131256,473.049988,151.850006,219.618805,401.75,250.759995,406.302551,329.087463
2014-03-04,264.016693,247.199997,474.987488,475.549988,154.970001,220.931305,407.299988,259.01001,408.528748,335.137573
2014-03-05,259.610321,251.5,476.912506,474.649994,157.350006,221.100052,403.450012,261.350006,405.461548,338.948639
2014-03-06,262.364319,256.899994,479.462494,474.450012,157.619995,219.206299,411,265.660004,403.631134,346.999573
2014-03-07,276.685089,264.450012,467.618744,480.600006,164.875,212.081299,434.5,281.380005,404.670044,352.763855
2014-03-10,279.944,258.5,459.09375,484.549988,169.134995,209.025055,442.899994,285.359985,391.70871,347.047211
2014-03-11,278.016205,255.550003,459.09375,480.299988,167.514999,209.962555,437.475006,283.690002,393.885437,327.896484
2014-03-12,275.216309,259.75,458.862488,493.700012,164.475006,212.381302,435.575012,279.609985,384.634399,323.561371
2014-03-13,276.226105,265,419.6875,493.049988,165.179993,211.275055,439.549988,276.160004,383.892365,320.893616
2014-03-14,270.901703,263.850006,423.681244,495.850006,165.350006,205.143799,443.049988,271.200012,389.13623,325.609833
2014-03-18,271.085297,270.399994,418.65625,501.549988,169.839996,202.612549,447.674988,269.730011,377.362213,324.609436
2014-03-19,274.757294,263.299988,408.943756,512.599976,170.735001,204.375046,451.075012,277.230011,380.478882,339.472687
2014-03-20,271.131195,260.25,412.875,514.049988,167.794998,206.606308,452.850006,271.369995,376.075989,333.470215
2014-03-21,268.377197,263.200012,413.15625,508.549988,170.259995,212.981308,442.875,278.679993,385.030182,345.379852
2014-03-22,268.377197,263.200012,413.15625,508.549988,170.259995,212.981308,442.875,278.679993,385.030182,345.379852
2014-03-24,269.937805,270.799988,409.256256,522.5,172.544998,211.143799,452.299988,282.179993,386.959534,345.808624
2014-03-25,270.947601,273.899994,406.450012,524.650024,174.104996,205.687546,439.325012,280.160004,386.563782,349.3815
2014-03-26,274.252411,280.350006,405.581238,527.950012,176.820007,204.506302,445.100006,286.040009,397.002075,356.622589
2014-03-27,285.222504,279.950012,403.5625,537.25,183.955002,206.831299,451.075012,286.040009,392.648651,357.146606
2014-03-28,291.464905,285.899994,407.21875,537.849976,190.225006,206.812546,457.075012,292.230011,392.252899,362.910858
2014-03-31,292.750092,287.899994,409.856262,546.5,191.830002,203.475052,464.75,292.089996,394.132782,375.249268
2014-04-01,289.674805,289.649994,413.825012,536.700012,189.455002,210.187546,470.575012,293.76001,398.733551,382.347412
2014-04-02,299.35968,287.200012,415.024994,523.75,193.350006,211.950058,478.475006,293.209991,409.171875,384.395874
2014-04-03,295.458191,280.850006,417.325012,538.700012,189.535004,210.187546,475.975006,287.450012,406.89621,379.727295
2014-04-04,295.458191,282,414.4375,531.549988,190.425003,207.468796,472.100006,285.829987,400.81131,382.919098
