Date,Bharat-Airtel,CoalIndia,Infosys,Asian Paints,State Bank of India,Wipro,Reliance,Axis Bank,Tata Motors,Tata Steel
2014-01-01,289.307587,247.5,462.431244,472.25,152.559998,215.606308,415.424988,223.910004,346.14624,339.329773
2014-02-01,263.924896,244,477.524994,472.950012,153.169998,223.781311,399.625,253.179993,412.634796,327.801208
2014-03-01,292.750092,287.899994,409.856262,546.5,191.830002,203.475052,464.75,292.089996,394.132782,375.249268
2014-04-01,300.782593,291.700012,397.149994,505.149994,207.895004,195.750046,467.649994,303.839996,410.062347,381.680481
2014-05-01,315.791901,371.149994,367.6875,509.450012,254.190002,189.375046,532.575012,367.230011,411.051758,452.566711
2014-06-01,309.274078,385.299988,405.806244,592.700012,268.589996,204.356308,507.350006,384.279999,426.585541,503.349457
2014-07-01,342.046692,368.950012,420.712494,629.150024,243.975006,203.868805,503,391.850006,442.168793,527.264038
2014-08-01,339.384491,356.399994,449.25,624.150024,246.044998,212.025055,499.625,397.299988,518.848328,489.296082
2014-09-01,371.101379,341.350006,468.456238,629.400024,244.235001,223.631302,472.674988,377.799988,497.427521,437.608185
2014-10-01,365.639282,369.350006,506.431244,656.150024,270.165009,211.293808,499.600006,438.75,529.979248,466.239014
2014-11-01,350.629974,354.75,544.90625,743.700012,321.450012,219.562561,495.424988,481.049988,527.3078,450.947021
2014-12-01,323.916199,383.75,492.799988,751.75,311.850006,207.675049,445.575012,502.049988,490.847931,380.489502
2015-01-01,342.184387,360.850006,535.6875,857.450012,310,227.362549,457.674988,588.700012,578.757324,372.009857
2015-02-01,326.302979,395.450012,566.587524,807,299.950012,245.418808,427.825012,567.150024,569.407349,334.470612
2015-03-01,361.600067,362.399994,554.150024,808.75,267,235.425064,412.350006,560.400024,544.127808,301.885834
2015-04-01,350.354584,363,485.600006,762.900024,270.049988,201.956299,431.424988,567.849976,508.450012,343.474335
2015-05-01,390.425262,391.299988,505.600006,787,278.149994,210.600052,438.575012,585.25,481.600006,312.985626
