Date,BHEL,Bank of Baroda,Britannia,Colgate,Dabur,Godrej,Reliance,Asian Paints,Berger Paints,MuthootFinance
2014-01-01,115.166664,109.68,441.274994,649.900024,172,162.399994,411.67276,471.700012,72.60714,127.150002
2014-02-01,111.833336,110.230003,444.200012,656.775024,173.449997,167.300003,396.219238,473,75.714287,165.300003
2014-03-01,130.699997,144.149994,421.700012,686.25,179.649994,213.850006,461.005127,547.950012,82.089287,172
2014-04-01,120.300003,163.389999,432.024994,717.349976,179.25,219.800003,463.506409,505.149994,86.85714,179.350006
2014-05-01,161.46666,168.529999,440.549988,693.424988,188.449997,243.149994,527.351257,507.600006,88.39286,195.399994
2014-06-01,166.866669,175.289993,504.200012,754.275024,187.5,243.649994,502.932709,594,103.64286,188.300003
2014-07-01,152.233337,174.369995,574.200012,783.099976,207.25,228.5,498.499725,628.650024,107.196426,172.899994
2014-08-01,160.600006,174.300003,621.450012,768.049988,232.600006,224.199997,494.661102,624.200012,123.160713,195.600006
2014-09-01,133.633331,180.460007,696.025024,871.275024,222.149994,236.899994,468.409943,629.549988,135.357147,204.399994
2014-10-01,171.133331,185.899994,765.400024,845.200012,226.5,244.149994,495.577423,657,141.928574,197.300003
2014-11-01,189.199997,217.440002,823.974976,930.599976,240.899994,250.649994,491.14444,744.700012,140.607147,195.75
2014-12-01,176.833328,216.779999,920.049988,892.75,233.75,257.549988,441.391052,752.299988,143.839279,192.350006
2015-01-01,194.5,193.149994,944.5,937.775024,256.25,279.5,453.327911,857.75,163.535721,211.149994
2015-02-01,180.600006,181,1041.724976,960.549988,265.149994,298.75,423.758209,807.150024,161.535721,219.899994
2015-03-01,156.899994,163.5,1079.275024,1007.150024,265.549988,251.149994,409.121948,811.299988,149.035721,207.050003
2015-04-01,158.699997,169,1098.925049,994.099976,251.899994,241.949997,427.126282,762.450012,150.464279,183.5
2015-05-01,167.766663,162.600006,1272.349976,1001.900024,269.850006,268.049988,434.382477,787.049988,151.892853,195.050003
2015-06-01,165.266663,144.149994,1381.474976,1019.875,280.100006,246.850006,495.354523,755.349976,139.535721,202.050003
2015-07-01,185.566666,177.5,1576.824951,994.924988,293.299988,268.100006,496.221313,882.799988,155.642853,198.25
2015-08-01,150.96666,184.75,1464.974976,977.400024,273.049988,309.399994,423.931549,848.599976,151.785721,172.5
2015-09-01,137.03334,183.199997,1541,961.5,276,329.100006,427.101501,841.599976,156.892853,164.199997
2015-10-01,132.566666,160.199997,1615.949951,955.349976,269.75,343.5,469.400543,830.650024,158.357147,180.350006
2015-11-01,116.666664,179.899994,1461.525024,966.150024,272.549988,335.25,479.00946,838.5,157.214279,180.899994
2015-12-01,112.766663,156.649994,1483.150024,972.849976,276.950012,336.25,502.536469,883.549988,192.035721,179.649994
2016-01-01,92.466667,125.400002,1344.724976,857.950012,250.649994,300.25,512.838806,869.900024,190.321426,192.300003
2016-02-01,60.566666,131.899994,1378.125,820.400024,237.149994,267.350006,478.786591,846.099976,160.214279,173.850006
2016-03-01,75.900002,147,1343.25,830.849976,249.899994,295.850006,517.69281,868.400024,174.857147,178.75
2016-04-01,83.599998,157.899994,1431.300049,840.849976,275.799988,340.049988,486.736237,866.25,183.928574,203.100006
2016-05-01,80.333336,142.800003,1353.099976,861.349976,289.700012,329.5,474.427887,984.849976,202,232.399994
2016-06-01,85.133331,153.949997,1379.474976,918.5,308.649994,363.649994,480.024841,1003.299988,197.285721,293.049988
2016-07-01,97.266663,151.699997,1466.900024,933.349976,303.600006,361.299988,502.685059,1114.150024,237.850006,331.75
2016-08-01,92.73333,162.949997,1730.275024,948.349976,290.600006,359.649994,525.023315,1157.900024,260.350006,375.75
2016-09-01,89.800003,167.399994,1682,970.650024,271.200012,347.200012,536.762024,1160.699951,261.049988,348.799988
2016-10-01,92.633331,156.25,1655.974976,973.150024,291.549988,359.049988,522.522034,1069.900024,257.399994,358.899994
2016-11-01,86.766663,164.149994,1516.449951,933.700012,283.549988,300.600006,490.376709,969.900024,228.850006,302.950012
2016-12-01,80.800003,153.399994,1443.150024,904.599976,278.149994,303.200012,536.118164,891.049988,210.550003,282.700012
2017-01-01,91.366669,165.149994,1565.224976,887.650024,276,330.649994,517.69281,970.700012,211.5,305.649994
2017-02-01,108.300003,165.300003,1614.699951,900.25,276.899994,364.100006,613.212341,1024.199951,231.800003,356.299988
2017-03-01,108.566666,172.949997,1687,995.5,277.350006,385.049988,654.248352,1073.5,242.100006,368.950012
2017-04-01,117.133331,187.550003,1812.275024,1035.75,286.75,464.299988,691.049561,1120.449951,261.25,394.299988
2017-05-01,92.133331,178.050003,1766.324951,1014.549988,279.950012,490.649994,664.05542,1151.199951,251.75,412.649994
2017-06-01,90.199997,161.649994,1845.025024,1110.849976,292.100006,520,683.520935,1102.949951,246.25,455.149994
2017-07-01,96.73333,166.050003,1960.800049,1079.550049,310,522.150024,800.016663,1161.699951,247.800003,474.149994
2017-08-01,85.933334,137.850006,2115.475098,1112.550049,315.100006,579.5,789.763855,1168.550049,246,476.25
2017-09-01,83.949997,137.600006,2172.125,1066.75,305,619.75,773.567383,1131.699951,245.100006,474.899994
2017-10-01,98,169.899994,2319.75,1064.650024,332.850006,679.299988,932.015442,1180.849976,266.049988,493.299988
2017-11-01,92,169.100006,2407.800049,1036.650024,344.299988,728.200012,912.896667,1146.75,258.549988,442.399994
2017-12-01,92.5,160.649994,2354.625,1100,349.700012,692.549988,912.401367,1158.5,273.75,474.649994
2018-01-01,100.199997,156.800003,2342.074951,1121.349976,355.600006,799.599976,952.273376,1128.300049,250.350006,415.25
2018-02-01,89.900002,141.949997,2497.125,1041.099976,325.049988,780.200012,945.586792,1117.75,248.699997,391.799988
2018-03-01,81.349998,142.300003,2485.300049,1056.900024,328.399994,722.900024,874.411438,1120.400024,256.700012,407.450012
2018-04-01,87.800003,148.949997,2756.600098,1123.199951,369.399994,805.25,954.254639,1201.699951,286.600006,450.850006
2018-05-01,83.650002,136.850006,2961.975098,1259.699951,383.299988,731.049988,912.698547,1304.650024,298.200012,389.649994
2018-06-01,71.75,112.650002,3106.875,1184.849976,391.450012,719.049988,963.318726,1264.449951,281,379.5
2018-07-01,74.050003,153.350006,3271.100098,1145.25,421.549988,714.75,1174.863525,1451.400024,315.450012,404.549988
2018-08-01,80.599998,152.949997,3368.375,1169,478.75,687.700012,1229.990967,1372.449951,334.700012,409.399994
2018-09-01,68.5,99.5,2911.75,1081.449951,426.899994,590.900024,1246.137817,1293.300049,293.049988,403.399994
2018-10-01,68.75,110.650002,2822.050049,1117.5,384.75,599.200012,1051.284912,1230.400024,279.899994,409.350006
2018-11-01,68.150002,105.050003,3169.75,1219.650024,409.100006,663.200012,1156.58667,1345.949951,319.799988,452.600006
2018-12-01,73.099998,118.800003,3115.399902,1343.550049,430.649994,652.700012,1110.721436,1373.050049,330.299988,516
