,Symbol_x,Date,Expiry,Strike Price,Call Price,Put Price
0,NIFTY,01-Jan-14,24-Dec-14,5000,1682.55,98.75
2,NIFTY,02-Jan-14,24-Dec-14,5000,1599.85,109.25
4,NIFTY,03-Jan-14,24-Dec-14,5000,1582.5,110.05
6,NIFTY,06-Jan-14,24-Dec-14,5000,1581.2,115.3
8,NIFTY,07-Jan-14,24-Dec-14,5000,1541.55,118.4
10,NIFTY,08-Jan-14,24-Dec-14,5000,1540,115.55
12,NIFTY,09-Jan-14,24-Dec-14,5000,1530,117.15
14,NIFTY,10-Jan-14,24-Dec-14,5000,1518.65,116.25
16,NIFTY,13-Jan-14,24-Dec-14,5000,1605.5,107.2
18,NIFTY,14-Jan-14,24-Dec-14,5000,1595.15,112.5
20,NIFTY,15-Jan-14,24-Dec-14,5000,1644.2,104.2
22,NIFTY,16-Jan-14,24-Dec-14,5000,1663.95,107.15
24,NIFTY,17-Jan-14,24-Dec-14,5000,1611,113.7
26,NIFTY,20-Jan-14,24-Dec-14,5000,1655,106
28,NIFTY,21-Jan-14,24-Dec-14,5000,1640,104.4
30,NIFTY,22-Jan-14,24-Dec-14,5000,1676.35,104.85
32,NIFTY,23-Jan-14,24-Dec-14,5000,1682.1,103.05
34,NIFTY,24-Jan-14,24-Dec-14,5000,1620,109.95
36,NIFTY,27-Jan-14,24-Dec-14,5000,1507.95,122.55
38,NIFTY,28-Jan-14,24-Dec-14,5000,1500,128.95
40,NIFTY,29-Jan-14,24-Dec-14,5000,1480.4,133.75
42,NIFTY,30-Jan-14,24-Dec-14,5000,1425.65,130.5
44,NIFTY,31-Jan-14,24-Dec-14,5000,1428.45,133.7
46,NIFTY,03-Feb-14,24-Dec-14,5000,1371.5,139.95
48,NIFTY,04-Feb-14,24-Dec-14,5000,1396.5,141.05
50,NIFTY,05-Feb-14,24-Dec-14,5000,1400.05,141.05
52,NIFTY,06-Feb-14,24-Dec-14,5000,1414.35,143.25
54,NIFTY,07-Feb-14,24-Dec-14,5000,1451.4,138.05
56,NIFTY,10-Feb-14,24-Dec-14,5000,1435,137.05
58,NIFTY,11-Feb-14,24-Dec-14,5000,1442.3,138.9
60,NIFTY,12-Feb-14,24-Dec-14,5000,1468,133.05
62,NIFTY,13-Feb-14,24-Dec-14,5000,1385,144.2
64,NIFTY,14-Feb-14,24-Dec-14,5000,1438.05,135.65
66,NIFTY,17-Feb-14,24-Dec-14,5000,1452,135.2
